payment_id,member_id,branch_id,plan_id,payment_date,payment_type,amount,period_end
PAY012136,M00020,B01,P1,2026-03-03,Renewal,1500,2026-04-03
PAY005526,M00021,B01,P2,2025-01-28,Renewal,1100,2025-02-28
PAY005340,M00022,B01,P1,2025-01-17,Renewal,1500,2025-02-17
PAY006221,M00022,B01,P1,2025-02-19,Renewal,1500,2025-03-19
PAY006955,M00022,B01,P1,2025-03-20,Renewal,1500,2025-04-20
PAY007621,M00022,B01,P1,2025-04-15,Renewal,1500,2025-05-15
PAY008107,M00022,B01,P1,2025-05-12,Renewal,1500,2025-06-12
PAY005195,M00023,B01,P1,2025-01-05,Renewal,1500,2025-02-05
PAY005937,M00023,B01,P1,2025-02-11,Renewal,1500,2025-03-11
PAY005025,M00024,B01,P5,2025-01-04,Renewal,13500,2026-01-04
PAY011335,M00024,B01,P5,2026-01-12,Renewal,13500,2027-01-12
PAY009370,M00025,B01,P5,2025-08-01,Renewal,13500,2026-08-01
PAY005549,M00026,B01,P2,2025-01-23,Renewal,1100,2025-02-23
PAY006384,M00026,B01,P2,2025-03-05,Renewal,1100,2025-04-05
PAY007301,M00026,B01,P2,2025-04-14,Renewal,1100,2025-05-14
PAY008081,M00026,B01,P2,2025-05-10,Renewal,1100,2025-06-10
PAY005429,M00027,B01,P1,2025-01-20,Renewal,1500,2025-02-20
PAY006303,M00027,B01,P1,2025-02-19,Renewal,1500,2025-03-19
PAY006956,M00027,B01,P1,2025-03-14,Renewal,1500,2025-04-14
PAY007504,M00027,B01,P1,2025-04-25,Renewal,1500,2025-05-25
PAY005026,M00029,B01,P1,2025-01-07,Renewal,1500,2025-02-07
PAY005986,M00029,B01,P1,2025-02-09,Renewal,1500,2025-03-09
PAY006755,M00029,B01,P1,2025-03-10,Renewal,1500,2025-04-10
PAY007405,M00029,B01,P1,2025-04-05,Renewal,1500,2025-05-05
PAY007929,M00029,B01,P1,2025-05-15,Renewal,1500,2025-06-15
PAY008592,M00029,B01,P1,2025-06-15,Renewal,1500,2025-07-15
PAY009081,M00029,B01,P1,2025-07-22,Renewal,1500,2025-08-22
PAY009637,M00029,B01,P1,2025-08-19,Renewal,1500,2025-09-19
PAY010011,M00029,B01,P1,2025-09-15,Renewal,1500,2025-10-15
PAY010365,M00029,B01,P1,2025-10-16,Renewal,1500,2025-11-16
PAY005640,M00031,B01,P1,2025-01-29,Renewal,1500,2025-02-28
PAY006490,M00031,B01,P1,2025-03-10,Renewal,1500,2025-04-10
PAY007406,M00031,B01,P1,2025-04-19,Renewal,1500,2025-05-19
PAY005695,M00034,B01,P1,2025-02-01,Renewal,1500,2025-03-01
PAY006572,M00034,B01,P1,2025-02-28,Renewal,1500,2025-03-28
PAY007169,M00034,B01,P1,2025-04-05,Renewal,1500,2025-05-05
PAY007930,M00034,B01,P1,2025-05-03,Renewal,1500,2025-06-03
PAY008394,M00034,B01,P1,2025-05-31,Renewal,1500,2025-06-30
PAY005821,M00035,B01,P1,2025-01-26,Renewal,1500,2025-02-26
PAY008579,M00036,B01,P5,2025-06-19,Renewal,13500,2026-06-19
PAY005375,M00037,B01,P1,2025-01-22,Renewal,1500,2025-02-22
PAY006355,M00037,B01,P1,2025-02-24,Renewal,1500,2025-03-24
PAY007085,M00037,B01,P1,2025-04-03,Renewal,1500,2025-05-03
PAY007894,M00037,B01,P1,2025-05-05,Renewal,1500,2025-06-05
PAY008439,M00037,B01,P1,2025-05-31,Renewal,1500,2025-06-30
PAY008833,M00037,B01,P1,2025-07-07,Renewal,1500,2025-08-07
PAY009450,M00037,B01,P1,2025-08-12,Renewal,1500,2025-09-12
PAY009916,M00037,B01,P1,2025-09-12,Renewal,1500,2025-10-12
PAY010317,M00037,B01,P1,2025-10-11,Renewal,1500,2025-11-11
PAY010708,M00037,B01,P1,2025-11-14,Renewal,1500,2025-12-14
PAY005696,M00039,B01,P2,2025-02-01,Renewal,1100,2025-03-01
PAY006573,M00039,B01,P2,2025-03-09,Renewal,1100,2025-04-09
PAY005405,M00040,B01,P5,2025-01-18,Renewal,13500,2026-01-18
PAY005196,M00041,B01,P1,2025-01-14,Renewal,1500,2025-02-14
PAY006155,M00041,B01,P1,2025-02-15,Renewal,1500,2025-03-15
PAY006893,M00042,B01,P3,2025-03-21,Renewal,4000,2025-06-21
PAY008686,M00042,B01,P3,2025-06-16,Renewal,4000,2025-09-16
PAY009971,M00042,B01,P3,2025-09-18,Renewal,4000,2025-12-18
PAY005866,M00043,B01,P3,2025-01-29,Renewal,4000,2025-04-29
PAY007790,M00043,B01,P3,2025-05-02,Renewal,4000,2025-08-02
PAY009385,M00043,B01,P3,2025-07-31,Renewal,4000,2025-10-31
PAY010574,M00043,B01,P3,2025-10-30,Renewal,4000,2026-01-30
PAY011660,M00043,B01,P5,2026-02-05,Renewal,13500,2027-02-05
PAY005697,M00044,B01,P1,2025-01-25,Renewal,1500,2025-02-25
PAY006435,M00044,B01,P1,2025-03-06,Renewal,1500,2025-04-06
PAY007324,M00044,B01,P1,2025-04-11,Renewal,1500,2025-05-11
PAY008040,M00044,B01,P1,2025-05-19,Renewal,1500,2025-06-19
PAY006055,M00045,B01,P3,2025-02-08,Renewal,4000,2025-05-08
PAY007979,M00045,B01,P5,2025-05-11,Renewal,13500,2026-05-11
PAY013033,M00045,B01,P5,2026-05-11,Renewal,13500,2027-05-11
PAY006683,M00046,B01,P3,2025-03-16,Renewal,4000,2025-06-16
PAY005197,M00047,B01,P2,2025-01-07,Renewal,1100,2025-02-07
PAY005987,M00047,B01,P2,2025-02-17,Renewal,1100,2025-03-17
PAY006918,M00047,B01,P2,2025-03-25,Renewal,1100,2025-04-25
PAY007734,M00047,B01,P2,2025-05-06,Renewal,1100,2025-06-06
PAY008455,M00047,B01,P2,2025-06-03,Renewal,1100,2025-07-03
PAY008895,M00047,B01,P1,2025-07-12,Renewal,1500,2025-08-12
PAY006156,M00048,B01,P3,2025-02-20,Renewal,4000,2025-05-20
PAY008183,M00048,B01,P3,2025-05-17,Renewal,4000,2025-08-17
PAY009574,M00048,B01,P3,2025-08-16,Renewal,4000,2025-11-16
PAY010757,M00048,B01,P1,2025-11-18,Renewal,1500,2025-12-18
PAY011139,M00048,B01,P1,2025-12-14,Renewal,1500,2026-01-14
PAY011455,M00048,B01,P1,2026-01-19,Renewal,1500,2026-02-19
PAY011915,M00048,B01,P1,2026-02-23,Renewal,1500,2026-03-23
PAY012371,M00048,B01,P1,2026-03-31,Renewal,1500,2026-04-30
PAY012895,M00048,B01,P1,2026-05-03,Renewal,1500,2026-06-03
PAY013307,M00048,B01,P1,2026-06-05,Renewal,1500,2026-07-05
PAY005027,M00049,B01,P1,2025-01-10,Renewal,1500,2025-02-10
PAY006056,M00049,B01,P1,2025-02-10,Renewal,1500,2025-03-10
PAY006771,M00049,B01,P1,2025-03-08,Renewal,1500,2025-04-08
PAY007365,M00049,B01,P1,2025-04-05,Renewal,1500,2025-05-05
PAY007931,M00049,B01,P1,2025-05-11,Renewal,1500,2025-06-11
PAY008526,M00049,B01,P1,2025-06-13,Renewal,1500,2025-07-13
PAY009047,M00049,B01,P1,2025-07-20,Renewal,1500,2025-08-20
PAY009610,M00049,B01,P1,2025-08-17,Renewal,1500,2025-09-17
PAY009984,M00049,B01,P1,2025-09-17,Renewal,1500,2025-10-17
PAY005641,M00050,B01,P1,2025-01-20,Renewal,1500,2025-02-20
PAY006304,M00050,B01,P1,2025-02-25,Renewal,1500,2025-03-25
PAY007541,M00052,B01,P5,2025-04-21,Renewal,13500,2026-04-21
PAY012764,M00052,B01,P5,2026-04-24,Renewal,13500,2027-04-24
PAY005669,M00056,B01,P2,2025-01-28,Renewal,1100,2025-02-28
PAY005724,M00057,B01,P3,2025-01-28,Renewal,4000,2025-04-28
PAY007774,M00057,B01,P3,2025-04-29,Renewal,4000,2025-07-29
PAY009327,M00057,B01,P3,2025-07-31,Renewal,4000,2025-10-31
PAY010575,M00057,B01,P3,2025-11-11,Renewal,4000,2026-02-11
PAY011803,M00057,B01,P3,2026-02-07,Renewal,4000,2026-05-07
PAY012995,M00057,B01,P3,2026-05-17,Renewal,4000,2026-08-17
PAY005642,M00058,B01,P2,2025-01-25,Renewal,1100,2025-02-25
PAY006436,M00058,B01,P2,2025-03-05,Renewal,1100,2025-04-05
PAY007010,M00059,B01,P4,2025-03-29,Renewal,7500,2025-09-29
PAY010150,M00059,B01,P4,2025-09-30,Renewal,7500,2026-03-30
PAY012462,M00059,B01,P3,2026-04-06,Renewal,4000,2026-07-06
PAY005617,M00060,B01,P1,2025-01-31,Renewal,1500,2025-02-28
PAY006491,M00060,B01,P1,2025-03-11,Renewal,1500,2025-04-11
PAY007435,M00060,B01,P1,2025-04-06,Renewal,1500,2025-05-06
PAY006385,M00061,B01,P4,2025-02-26,Renewal,7500,2025-08-26
PAY009705,M00061,B01,P4,2025-09-05,Renewal,7500,2026-03-05
PAY012118,M00061,B01,P4,2026-03-10,Renewal,7500,2026-09-10
PAY005490,M00062,B01,P1,2025-01-22,Renewal,1500,2025-02-22
PAY006356,M00062,B01,P1,2025-03-02,Renewal,1500,2025-04-02
PAY007223,M00062,B01,P1,2025-04-03,Renewal,1500,2025-05-03
PAY007895,M00062,B01,P1,2025-05-01,Renewal,1500,2025-06-01
PAY005160,M00063,B01,P1,2025-01-19,Renewal,1500,2025-02-19
PAY006279,M00063,B01,P1,2025-02-16,Renewal,1500,2025-03-16
PAY006894,M00063,B01,P1,2025-03-22,Renewal,1500,2025-04-22
PAY005791,M00065,B01,P2,2025-02-06,Renewal,1100,2025-03-06
PAY006684,M00065,B01,P2,2025-03-15,Renewal,1100,2025-04-15
PAY005698,M00066,B01,P1,2025-01-23,Renewal,1500,2025-02-23
PAY005938,M00067,B01,P3,2025-02-14,Renewal,4000,2025-05-14
PAY008082,M00067,B01,P3,2025-05-14,Renewal,4000,2025-08-14
PAY009537,M00067,B01,P3,2025-08-21,Renewal,4000,2025-11-21
PAY010818,M00067,B01,P3,2025-12-01,Renewal,4000,2026-03-01
PAY012070,M00067,B01,P3,2026-03-04,Renewal,4000,2026-06-04
PAY013322,M00067,B01,P3,2026-06-15,Renewal,4000,2026-09-15
PAY005341,M00068,B01,P1,2025-01-24,Renewal,1500,2025-02-24
PAY005053,M00069,B01,P1,2025-01-14,Renewal,1500,2025-02-14
PAY006157,M00069,B01,P1,2025-02-13,Renewal,1500,2025-03-13
PAY006831,M00069,B01,P1,2025-03-21,Renewal,1500,2025-04-21
PAY007638,M00069,B01,P1,2025-04-17,Renewal,1500,2025-05-17
PAY006131,M00070,B01,P3,2025-02-16,Renewal,4000,2025-05-16
PAY008123,M00070,B01,P3,2025-05-23,Renewal,4000,2025-08-23
PAY009652,M00070,B01,P3,2025-09-03,Renewal,4000,2025-12-03
PAY010970,M00070,B01,P3,2025-11-28,Renewal,4000,2026-02-28
PAY012031,M00070,B01,P3,2026-03-05,Renewal,4000,2026-06-05
PAY013333,M00070,B01,P3,2026-06-06,Renewal,4000,2026-09-06
PAY005198,M00071,B01,P3,2025-01-19,Renewal,4000,2025-04-19
PAY007602,M00071,B01,P3,2025-04-22,Renewal,4000,2025-07-22
PAY005699,M00073,B01,P1,2025-01-24,Renewal,1500,2025-02-24
PAY006408,M00073,B01,P1,2025-02-20,Renewal,1500,2025-03-20
PAY006987,M00073,B01,P1,2025-03-30,Renewal,1500,2025-04-30
PAY007817,M00073,B01,P1,2025-05-02,Renewal,1500,2025-06-02
PAY007522,M00074,B01,P5,2025-04-17,Renewal,13500,2026-04-17
PAY012705,M00074,B01,P5,2026-04-17,Renewal,13500,2027-04-17
PAY005643,M00076,B01,P1,2025-01-24,Renewal,1500,2025-02-24
PAY006409,M00076,B01,P1,2025-02-19,Renewal,1500,2025-03-19
PAY006957,M00076,B01,P1,2025-03-16,Renewal,1500,2025-04-16
PAY007542,M00076,B01,P1,2025-04-17,Renewal,1500,2025-05-17
PAY008135,M00076,B01,P1,2025-05-21,Renewal,1500,2025-06-21
PAY008687,M00076,B01,P2,2025-06-23,Renewal,1100,2025-07-23
PAY009216,M00076,B01,P2,2025-07-27,Renewal,1100,2025-08-27
PAY009719,M00076,B01,P2,2025-09-01,Renewal,1100,2025-10-01
PAY010191,M00076,B01,P1,2025-09-26,Renewal,1500,2025-10-26
PAY010505,M00076,B01,P1,2025-11-04,Renewal,1500,2025-12-04
PAY010983,M00076,B01,P1,2025-12-09,Renewal,1500,2026-01-09
PAY011391,M00076,B01,P1,2026-01-15,Renewal,1500,2026-02-15
PAY011867,M00076,B01,P1,2026-02-11,Renewal,1500,2026-03-11
PAY012203,M00076,B01,P1,2026-03-07,Renewal,1500,2026-04-07
PAY012560,M00076,B01,P1,2026-04-13,Renewal,1500,2026-05-13
PAY013052,M00076,B01,P1,2026-05-09,Renewal,1500,2026-06-09
PAY013385,M00076,B01,P1,2026-06-05,Renewal,1500,2026-07-05
PAY005527,M00077,B01,P1,2025-01-22,Renewal,1500,2025-02-22
PAY006590,M00078,B01,P3,2025-03-11,Renewal,4000,2025-06-11
PAY007622,M00080,B01,P4,2025-04-27,Renewal,7500,2025-10-27
PAY010519,M00080,B01,P4,2025-10-29,Renewal,7500,2026-04-29
PAY012884,M00080,B01,P3,2026-05-07,Renewal,4000,2026-08-07
PAY006591,M00081,B01,P5,2025-03-04,Renewal,13500,2026-03-04
PAY012105,M00081,B01,P5,2026-03-03,Renewal,13500,2027-03-03
PAY006723,M00082,B01,P5,2025-03-09,Renewal,13500,2026-03-09
PAY012173,M00082,B01,P5,2026-03-15,Renewal,13500,2027-03-15
PAY008896,M00083,B01,P5,2025-07-14,Renewal,13500,2026-07-14
PAY005459,M00085,B01,P1,2025-01-18,Renewal,1500,2025-02-18
PAY006246,M00085,B01,P1,2025-02-28,Renewal,1500,2025-03-28
PAY007170,M00085,B01,P1,2025-04-07,Renewal,1500,2025-05-07
PAY007959,M00085,B01,P1,2025-05-15,Renewal,1500,2025-06-15
PAY008593,M00085,B01,P1,2025-06-14,Renewal,1500,2025-07-14
PAY009061,M00085,B01,P1,2025-07-16,Renewal,1500,2025-08-16
PAY009563,M00085,B01,P1,2025-08-18,Renewal,1500,2025-09-18
PAY009995,M00085,B01,P1,2025-09-22,Renewal,1500,2025-10-22
PAY010451,M00085,B01,P1,2025-10-25,Renewal,1500,2025-11-25
PAY005268,M00087,B01,P4,2025-01-16,Renewal,7500,2025-07-16
PAY009102,M00087,B01,P4,2025-07-18,Renewal,7500,2026-01-18
PAY011501,M00087,B01,P4,2026-01-20,Renewal,7500,2026-07-20
PAY007062,M00088,B01,P3,2025-03-29,Renewal,4000,2025-06-29
PAY008810,M00088,B01,P3,2025-06-24,Renewal,4000,2025-09-24
PAY004947,M00089,B01,P2,2025-01-08,Renewal,1100,2025-02-08
PAY006007,M00089,B01,P2,2025-02-06,Renewal,1100,2025-03-06
PAY006685,M00089,B01,P2,2025-03-14,Renewal,1100,2025-04-14
PAY007505,M00089,B01,P3,2025-04-20,Renewal,4000,2025-07-20
PAY009166,M00089,B01,P3,2025-07-22,Renewal,4000,2025-10-22
PAY010452,M00089,B01,P3,2025-11-01,Renewal,4000,2026-02-01
PAY011684,M00089,B01,P3,2026-02-11,Renewal,4000,2026-05-11
PAY005199,M00090,B01,P3,2025-01-18,Renewal,4000,2025-04-18
PAY007585,M00090,B01,P3,2025-04-15,Renewal,4000,2025-07-15
PAY006724,M00091,B01,P3,2025-03-16,Renewal,4000,2025-06-16
PAY005700,M00093,B01,P3,2025-01-31,Renewal,4000,2025-04-30
PAY005406,M00094,B01,P2,2025-01-24,Renewal,1100,2025-02-24
PAY006410,M00094,B01,P2,2025-03-05,Renewal,1100,2025-04-05
PAY007302,M00094,B01,P2,2025-04-16,Renewal,1100,2025-05-16
PAY010318,M00095,B01,P5,2025-10-19,Renewal,13500,2026-10-19
PAY006057,M00096,B01,P3,2025-02-08,Renewal,4000,2025-05-08
PAY007980,M00096,B01,P1,2025-05-17,Renewal,1500,2025-06-17
PAY008626,M00096,B01,P1,2025-06-23,Renewal,1500,2025-07-23
PAY009217,M00096,B01,P3,2025-07-20,Renewal,4000,2025-10-20
PAY010427,M00096,B01,P3,2025-10-23,Renewal,4000,2026-01-23
PAY011574,M00096,B01,P3,2026-02-01,Renewal,4000,2026-05-01
PAY012919,M00096,B01,P3,2026-05-10,Renewal,4000,2026-08-10
PAY005407,M00097,B01,P1,2025-01-17,Renewal,1500,2025-02-17
PAY006222,M00097,B01,P1,2025-02-24,Renewal,1500,2025-03-24
PAY009062,M00098,B01,P3,2025-07-20,Renewal,4000,2025-10-20
PAY005587,M00100,B01,P2,2025-01-27,Renewal,1100,2025-02-27
PAY005430,M00101,B01,P1,2025-01-14,Renewal,1500,2025-02-14
PAY006158,M00101,B01,P1,2025-02-10,Renewal,1500,2025-03-10
PAY006772,M00101,B01,P1,2025-03-06,Renewal,1500,2025-04-06
PAY007325,M00101,B01,P1,2025-04-07,Renewal,1500,2025-05-07
PAY007960,M00101,B01,P1,2025-05-08,Renewal,1500,2025-06-08
PAY007366,M00102,B01,P4,2025-04-14,Renewal,7500,2025-10-14
PAY010349,M00102,B01,P4,2025-10-12,Renewal,7500,2026-04-12
PAY012636,M00102,B01,P4,2026-04-21,Renewal,7500,2026-10-21
PAY007109,M00103,B01,P3,2025-03-29,Renewal,4000,2025-06-29
PAY005028,M00104,B01,P5,2025-01-15,Renewal,13500,2026-01-15
PAY011471,M00104,B01,P5,2026-01-25,Renewal,13500,2027-01-25
PAY005725,M00106,B01,P1,2025-01-22,Renewal,1500,2025-02-22
PAY006357,M00106,B01,P1,2025-02-23,Renewal,1500,2025-03-23
PAY007063,M00106,B01,P1,2025-04-01,Renewal,1500,2025-05-01
PAY007856,M00106,B01,P1,2025-05-09,Renewal,1500,2025-06-09
PAY008504,M00106,B01,P1,2025-06-14,Renewal,1500,2025-07-14
PAY009063,M00106,B01,P1,2025-07-17,Renewal,1500,2025-08-17
PAY009575,M00106,B01,P1,2025-08-13,Renewal,1500,2025-09-13
PAY009927,M00106,B01,P4,2025-09-12,Renewal,7500,2026-03-12
PAY012222,M00106,B01,P4,2026-03-12,Renewal,7500,2026-09-12
PAY006328,M00107,B01,P3,2025-02-25,Renewal,4000,2025-05-25
PAY008262,M00107,B01,P3,2025-05-31,Renewal,4000,2025-08-31
PAY005670,M00108,B01,P1,2025-02-03,Renewal,1500,2025-03-03
PAY006607,M00108,B01,P1,2025-03-02,Renewal,1500,2025-04-02
PAY007224,M00108,B01,P1,2025-03-29,Renewal,1500,2025-04-29
PAY007791,M00108,B01,P1,2025-05-05,Renewal,1500,2025-06-05
PAY008440,M00108,B01,P1,2025-06-11,Renewal,1500,2025-07-11
PAY009010,M00108,B01,P1,2025-07-22,Renewal,1500,2025-08-22
PAY006029,M00110,B01,P3,2025-02-11,Renewal,4000,2025-05-11
PAY008041,M00110,B01,P3,2025-05-06,Renewal,4000,2025-08-06
PAY009438,M00110,B01,P3,2025-08-06,Renewal,4000,2025-11-06
PAY006686,M00111,B01,P3,2025-03-16,Renewal,4000,2025-06-16
PAY008610,M00111,B01,P3,2025-06-13,Renewal,4000,2025-09-13
PAY004948,M00112,B01,P2,2025-01-10,Renewal,1100,2025-02-10
PAY006058,M00112,B01,P2,2025-02-14,Renewal,1100,2025-03-14
PAY006855,M00112,B01,P2,2025-03-24,Renewal,1100,2025-04-24
PAY007703,M00112,B01,P2,2025-04-25,Renewal,1100,2025-05-25
PAY008263,M00112,B01,P2,2025-05-23,Renewal,1100,2025-06-23
PAY008715,M00112,B01,P2,2025-06-21,Renewal,1100,2025-07-21
PAY009048,M00113,B01,P5,2025-07-12,Renewal,13500,2026-07-12
PAY006207,M00114,B01,P3,2025-02-24,Renewal,4000,2025-05-24
PAY008249,M00114,B01,P3,2025-05-20,Renewal,4000,2025-08-20
PAY009611,M00114,B01,P3,2025-08-16,Renewal,4000,2025-11-16
PAY010758,M00114,B01,P3,2025-11-20,Renewal,4000,2026-02-20
PAY011928,M00114,B01,P3,2026-02-20,Renewal,4000,2026-05-20
PAY013137,M00114,B01,P3,2026-05-24,Renewal,4000,2026-08-24
PAY005081,M00115,B01,P3,2025-01-10,Renewal,4000,2025-04-10
PAY007407,M00115,B01,P3,2025-04-20,Renewal,4000,2025-07-20
PAY009167,M00115,B01,P3,2025-07-23,Renewal,4000,2025-10-23
PAY010464,M00115,B01,P3,2025-10-27,Renewal,4000,2026-01-27
PAY011630,M00115,B01,P3,2026-02-01,Renewal,4000,2026-05-01
PAY012920,M00115,B01,P3,2026-05-06,Renewal,4000,2026-08-06
PAY005342,M00118,B01,P1,2025-01-22,Renewal,1500,2025-02-22
PAY006358,M00118,B01,P1,2025-03-03,Renewal,1500,2025-04-03
PAY006608,M00119,B01,P3,2025-03-05,Renewal,4000,2025-06-05
PAY008441,M00119,B01,P3,2025-06-04,Renewal,4000,2025-09-04
PAY007196,M00120,B01,P3,2025-03-28,Renewal,4000,2025-06-28
PAY008798,M00120,B01,P3,2025-06-25,Renewal,4000,2025-09-25
PAY010099,M00120,B01,P3,2025-09-23,Renewal,4000,2025-12-23
PAY011187,M00120,B01,P3,2025-12-21,Renewal,4000,2026-03-21
PAY006411,M00122,B01,P1,2025-02-22,Renewal,1500,2025-03-22
PAY007039,M00122,B01,P1,2025-04-01,Renewal,1500,2025-05-01
PAY007857,M00122,B01,P1,2025-04-29,Renewal,1500,2025-05-29
PAY008336,M00122,B01,P1,2025-06-07,Renewal,1500,2025-07-07
PAY008942,M00122,B01,P3,2025-07-02,Renewal,4000,2025-10-02
PAY010292,M00123,B01,P5,2025-10-07,Renewal,13500,2026-10-07
PAY005408,M00124,B01,P1,2025-01-19,Renewal,1500,2025-02-19
PAY007896,M00125,B01,P5,2025-04-30,Renewal,13500,2026-04-30
PAY012896,M00125,B01,P5,2026-05-10,Renewal,13500,2027-05-10
PAY005343,M00126,B01,P3,2025-01-19,Renewal,4000,2025-04-19
PAY007603,M00126,B01,P3,2025-04-15,Renewal,4000,2025-07-15
PAY009082,M00126,B01,P3,2025-07-11,Renewal,4000,2025-10-11
PAY010306,M00126,B01,P3,2025-10-20,Renewal,4000,2026-01-20
PAY011532,M00126,B01,P3,2026-01-24,Renewal,4000,2026-04-24
PAY012820,M00126,B01,P3,2026-05-04,Renewal,4000,2026-08-04
PAY004980,M00127,B01,P1,2025-01-02,Renewal,1500,2025-02-02
PAY006008,M00130,B01,P3,2025-02-08,Renewal,4000,2025-05-08
PAY007981,M00130,B01,P2,2025-05-17,Renewal,1100,2025-06-17
PAY008627,M00130,B01,P2,2025-06-24,Renewal,1100,2025-07-24
PAY008136,M00132,B01,P4,2025-05-19,Renewal,7500,2025-11-19
PAY010797,M00132,B01,P4,2025-11-24,Renewal,7500,2026-05-24
PAY006725,M00133,B01,P3,2025-03-09,Renewal,4000,2025-06-09
PAY005701,M00134,B01,P1,2025-02-02,Renewal,1500,2025-03-02
PAY006592,M00134,B01,P1,2025-03-05,Renewal,1500,2025-04-05
PAY007303,M00134,B01,P1,2025-04-09,Renewal,1500,2025-05-09
PAY007998,M00134,B01,P1,2025-05-18,Renewal,1500,2025-06-18
PAY005491,M00135,B01,P1,2025-01-26,Renewal,1500,2025-02-26
PAY006461,M00135,B01,P2,2025-03-07,Renewal,1100,2025-04-07
PAY007347,M00135,B01,P2,2025-04-18,Renewal,1100,2025-05-18
PAY008155,M00135,B01,P2,2025-05-26,Renewal,1100,2025-06-26
PAY008764,M00135,B01,P2,2025-07-05,Renewal,1100,2025-08-05
PAY008281,M00136,B01,P5,2025-06-01,Renewal,13500,2026-06-01
PAY013277,M00136,B01,P5,2026-06-10,Renewal,13500,2027-06-10
PAY006030,M00137,B01,P3,2025-02-13,Renewal,4000,2025-05-13
PAY008068,M00137,B01,P3,2025-05-14,Renewal,4000,2025-08-14
PAY009538,M00137,B01,P3,2025-08-11,Renewal,4000,2025-11-11
PAY010709,M00137,B01,P3,2025-11-11,Renewal,4000,2026-02-11
PAY011804,M00137,B01,P3,2026-02-14,Renewal,4000,2026-05-14
PAY013067,M00137,B01,P3,2026-05-19,Renewal,4000,2026-08-19
PAY005822,M00138,B01,P2,2025-02-08,Renewal,1100,2025-03-08
PAY006305,M00139,B01,P3,2025-03-02,Renewal,4000,2025-06-02
PAY008376,M00139,B01,P3,2025-06-13,Renewal,4000,2025-09-13
PAY009928,M00139,B01,P3,2025-09-20,Renewal,4000,2025-12-20
PAY006726,M00140,B01,P3,2025-03-16,Renewal,4000,2025-06-16
PAY005303,M00141,B01,P1,2025-01-12,Renewal,1500,2025-02-12
PAY006106,M00141,B01,P1,2025-02-11,Renewal,1500,2025-03-11
PAY006791,M00141,B01,P1,2025-03-10,Renewal,1500,2025-04-10
