visit_date,branch_id,check_ins
2025-02-26,B01,184
2025-02-26,B02,185
2025-02-26,B03,93
2025-02-26,B04,149
2025-02-26,B05,146
2025-02-27,B01,176
2025-02-27,B02,205
2025-02-27,B03,100
2025-02-27,B04,115
2025-02-27,B05,108
2025-02-28,B01,189
2025-02-28,B02,169
2025-02-28,B03,93
2025-02-28,B04,142
2025-02-28,B05,145
2025-03-01,B01,151
2025-03-01,B02,159
2025-03-01,B03,63
2025-03-01,B04,124
2025-03-01,B05,122
2025-03-02,B01,109
2025-03-02,B02,108
2025-03-02,B03,62
2025-03-02,B04,98
2025-03-02,B05,74
2025-03-03,B01,157
2025-03-03,B02,177
2025-03-03,B03,98
2025-03-03,B04,135
2025-03-03,B05,131
2025-03-04,B01,159
2025-03-04,B02,191
2025-03-04,B03,93
2025-03-04,B04,145
2025-03-04,B05,127
2025-03-05,B01,150
2025-03-05,B02,206
2025-03-05,B03,86
2025-03-05,B04,156
2025-03-05,B05,147
2025-03-06,B01,157
2025-03-06,B02,187
2025-03-06,B03,75
2025-03-06,B04,144
2025-03-06,B05,126
2025-03-07,B01,164
2025-03-07,B02,191
2025-03-07,B03,87
2025-03-07,B04,142
2025-03-07,B05,134
2025-03-08,B01,127
2025-03-08,B02,145
2025-03-08,B03,78
2025-03-08,B04,103
2025-03-08,B05,131
2025-03-09,B01,103
2025-03-09,B02,107
2025-03-09,B03,52
2025-03-09,B04,81
2025-03-09,B05,111
2025-03-10,B01,159
2025-03-10,B02,180
2025-03-10,B03,90
2025-03-10,B04,134
2025-03-10,B05,127
2025-03-11,B01,175
2025-03-11,B02,168
2025-03-11,B03,85
2025-03-11,B04,161
2025-03-11,B05,164
2025-03-12,B01,164
2025-03-12,B02,197
2025-03-12,B03,78
2025-03-12,B04,133
2025-03-12,B05,136
2025-03-13,B01,162
2025-03-13,B02,205
2025-03-13,B03,91
2025-03-13,B04,133
2025-03-13,B05,146
2025-03-14,B01,183
2025-03-14,B02,220
2025-03-14,B03,106
2025-03-14,B04,134
2025-03-14,B05,139
2025-03-15,B01,127
2025-03-15,B02,148
2025-03-15,B03,68
2025-03-15,B04,106
2025-03-15,B05,137
2025-03-16,B01,118
2025-03-16,B02,134
2025-03-16,B03,46
2025-03-16,B04,79
2025-03-16,B05,106
2025-03-17,B01,168
2025-03-17,B02,210
2025-03-17,B03,104
2025-03-17,B04,121
2025-03-17,B05,179
2025-03-18,B01,177
2025-03-18,B02,179
2025-03-18,B03,73
2025-03-18,B04,127
2025-03-18,B05,159
2025-03-19,B01,148
2025-03-19,B02,193
2025-03-19,B03,75
2025-03-19,B04,147
2025-03-19,B05,115
2025-03-20,B01,162
2025-03-20,B02,190
2025-03-20,B03,76
2025-03-20,B04,154
2025-03-20,B05,121
2025-03-21,B01,168
2025-03-21,B02,190
2025-03-21,B03,77
2025-03-21,B04,139
2025-03-21,B05,131
2025-03-22,B01,142
2025-03-22,B02,147
2025-03-22,B03,67
2025-03-22,B04,109
2025-03-22,B05,112
2025-03-23,B01,88
2025-03-23,B02,121
2025-03-23,B03,53
2025-03-23,B04,73
2025-03-23,B05,86
2025-03-24,B01,174
2025-03-24,B02,203
2025-03-24,B03,91
2025-03-24,B04,147
2025-03-24,B05,136
2025-03-25,B01,153
2025-03-25,B02,190
2025-03-25,B03,98
2025-03-25,B04,165
2025-03-25,B05,169
2025-03-26,B01,153
2025-03-26,B02,194
2025-03-26,B03,79
2025-03-26,B04,148
2025-03-26,B05,154
2025-03-27,B01,149
2025-03-27,B02,181
2025-03-27,B03,87
2025-03-27,B04,136
2025-03-27,B05,161
2025-03-28,B01,152
2025-03-28,B02,167
2025-03-28,B03,83
2025-03-28,B04,131
2025-03-28,B05,153
2025-03-29,B01,146
2025-03-29,B02,152
2025-03-29,B03,71
2025-03-29,B04,114
2025-03-29,B05,121
2025-03-30,B01,118
2025-03-30,B02,143
2025-03-30,B03,64
2025-03-30,B04,79
2025-03-30,B05,88
2025-03-31,B01,194
2025-03-31,B02,196
2025-03-31,B03,81
2025-03-31,B04,139
2025-03-31,B05,147
2025-04-01,B01,161
2025-04-01,B02,189
2025-04-01,B03,95
2025-04-01,B04,148
2025-04-01,B05,131
2025-04-02,B01,166
2025-04-02,B02,203
2025-04-02,B03,83
2025-04-02,B04,144
2025-04-02,B05,142
2025-04-03,B01,154
2025-04-03,B02,201
2025-04-03,B03,77
2025-04-03,B04,137
2025-04-03,B05,140
2025-04-04,B01,141
2025-04-04,B02,200
2025-04-04,B03,84
2025-04-04,B04,150
2025-04-04,B05,140
2025-04-05,B01,127
2025-04-05,B02,151
2025-04-05,B03,85
2025-04-05,B04,119
2025-04-05,B05,113
2025-04-06,B01,120
2025-04-06,B02,129
2025-04-06,B03,58
2025-04-06,B04,109
2025-04-06,B05,102
2025-04-07,B01,179
2025-04-07,B02,211
2025-04-07,B03,91
2025-04-07,B04,166
2025-04-07,B05,164
2025-04-08,B01,169
2025-04-08,B02,209
2025-04-08,B03,102
2025-04-08,B04,136
2025-04-08,B05,147
2025-04-09,B01,165
2025-04-09,B02,182
2025-04-09,B03,90
2025-04-09,B04,136
2025-04-09,B05,141
2025-04-10,B01,176
2025-04-10,B02,163
2025-04-10,B03,97
2025-04-10,B04,127
2025-04-10,B05,132
2025-04-11,B01,142
2025-04-11,B02,185
2025-04-11,B03,94
2025-04-11,B04,122
2025-04-11,B05,157
2025-04-12,B01,147
2025-04-12,B02,180
2025-04-12,B03,73
2025-04-12,B04,131
2025-04-12,B05,131
2025-04-13,B01,99
2025-04-13,B02,141
2025-04-13,B03,90
2025-04-13,B04,94
2025-04-13,B05,94
2025-04-14,B01,179
2025-04-14,B02,166
2025-04-14,B03,88
2025-04-14,B04,142
2025-04-14,B05,139
2025-04-15,B01,169
2025-04-15,B02,190
2025-04-15,B03,101
2025-04-15,B04,156
2025-04-15,B05,131
2025-04-16,B01,149
2025-04-16,B02,206
2025-04-16,B03,94
2025-04-16,B04,128
2025-04-16,B05,150
2025-04-17,B01,165
2025-04-17,B02,203
2025-04-17,B03,114
2025-04-17,B04,133
2025-04-17,B05,127
2025-04-18,B01,135
2025-04-18,B02,182
2025-04-18,B03,82
2025-04-18,B04,146
2025-04-18,B05,138
2025-04-19,B01,142
2025-04-19,B02,147
2025-04-19,B03,78
2025-04-19,B04,100
2025-04-19,B05,117
2025-04-20,B01,108
2025-04-20,B02,155
2025-04-20,B03,67
2025-04-20,B04,80
2025-04-20,B05,89
2025-04-21,B01,162
2025-04-21,B02,182
2025-04-21,B03,72
2025-04-21,B04,118
2025-04-21,B05,154
2025-04-22,B01,173
2025-04-22,B02,176
2025-04-22,B03,83
2025-04-22,B04,131
2025-04-22,B05,169
2025-04-23,B01,166
2025-04-23,B02,199
2025-04-23,B03,81
2025-04-23,B04,128
2025-04-23,B05,138
2025-04-24,B01,152
2025-04-24,B02,190
2025-04-24,B03,74
2025-04-24,B04,127
2025-04-24,B05,124
2025-04-25,B01,170
2025-04-25,B02,170
2025-04-25,B03,76
2025-04-25,B04,145
2025-04-25,B05,143
2025-04-26,B01,126
2025-04-26,B02,143
2025-04-26,B03,69
2025-04-26,B04,109
2025-04-26,B05,116
2025-04-27,B01,104
2025-04-27,B02,115
2025-04-27,B03,59
2025-04-27,B04,103
2025-04-27,B05,120
2025-04-28,B01,167
2025-04-28,B02,197
2025-04-28,B03,97
2025-04-28,B04,125
2025-04-28,B05,156
2025-04-29,B01,170
2025-04-29,B02,188
2025-04-29,B03,94
2025-04-29,B04,134
2025-04-29,B05,140
2025-04-30,B01,177
2025-04-30,B02,161
2025-04-30,B03,75
2025-04-30,B04,135
2025-04-30,B05,139
2025-05-01,B01,137
2025-05-01,B02,197
2025-05-01,B03,79
2025-05-01,B04,146
2025-05-01,B05,164
2025-05-02,B01,181
2025-05-02,B02,183
2025-05-02,B03,69
2025-05-02,B04,125
2025-05-02,B05,151
2025-05-03,B01,130
2025-05-03,B02,155
2025-05-03,B03,77
2025-05-03,B04,108
2025-05-03,B05,99
2025-05-04,B01,108
2025-05-04,B02,134
2025-05-04,B03,54
2025-05-04,B04,94
2025-05-04,B05,100
2025-05-05,B01,151
2025-05-05,B02,209
2025-05-05,B03,90
2025-05-05,B04,139
2025-05-05,B05,141
2025-05-06,B01,182
2025-05-06,B02,179
2025-05-06,B03,95
2025-05-06,B04,127
2025-05-06,B05,145
2025-05-07,B01,174
2025-05-07,B02,200
2025-05-07,B03,88
2025-05-07,B04,122
2025-05-07,B05,136
2025-05-08,B01,168
2025-05-08,B02,181
2025-05-08,B03,99
2025-05-08,B04,139
2025-05-08,B05,138
2025-05-09,B01,155
2025-05-09,B02,177
2025-05-09,B03,82
2025-05-09,B04,111
2025-05-09,B05,125
2025-05-10,B01,136
2025-05-10,B02,143
2025-05-10,B03,80
2025-05-10,B04,109
2025-05-10,B05,120
2025-05-11,B01,114
2025-05-11,B02,125
2025-05-11,B03,53
2025-05-11,B04,100
2025-05-11,B05,89
2025-05-12,B01,179
2025-05-12,B02,185
2025-05-12,B03,77
2025-05-12,B04,150
2025-05-12,B05,119
2025-05-13,B01,171
2025-05-13,B02,187
2025-05-13,B03,89
2025-05-13,B04,137
2025-05-13,B05,135
2025-05-14,B01,166
2025-05-14,B02,215
2025-05-14,B03,86
2025-05-14,B04,128
2025-05-14,B05,147
2025-05-15,B01,162
2025-05-15,B02,196
2025-05-15,B03,77
2025-05-15,B04,144
2025-05-15,B05,145
2025-05-16,B01,206
2025-05-16,B02,171
2025-05-16,B03,87
2025-05-16,B04,122
2025-05-16,B05,140
2025-05-17,B01,124
2025-05-17,B02,138
2025-05-17,B03,74
2025-05-17,B04,90
2025-05-17,B05,109
2025-05-18,B01,120
2025-05-18,B02,119
2025-05-18,B03,65
2025-05-18,B04,95
2025-05-18,B05,87
2025-05-19,B01,177
2025-05-19,B02,201
2025-05-19,B03,80
2025-05-19,B04,145
2025-05-19,B05,122
2025-05-20,B01,169
2025-05-20,B02,181
2025-05-20,B03,88
2025-05-20,B04,128
2025-05-20,B05,131
2025-05-21,B01,157
2025-05-21,B02,218
2025-05-21,B03,98
2025-05-21,B04,135
2025-05-21,B05,142
2025-05-22,B01,132
2025-05-22,B02,178
2025-05-22,B03,97
2025-05-22,B04,117
2025-05-22,B05,132
2025-05-23,B01,163
2025-05-23,B02,189
2025-05-23,B03,94
2025-05-23,B04,129
2025-05-23,B05,159
2025-05-24,B01,130
2025-05-24,B02,160
2025-05-24,B03,67
2025-05-24,B04,102
2025-05-24,B05,120
2025-05-25,B01,102
2025-05-25,B02,146
2025-05-25,B03,44
2025-05-25,B04,87
2025-05-25,B05,103
2025-05-26,B01,206
2025-05-26,B02,207
2025-05-26,B03,82
2025-05-26,B04,148
2025-05-26,B05,152
2025-05-27,B01,174
2025-05-27,B02,181
2025-05-27,B03,91
2025-05-27,B04,123
2025-05-27,B05,148
2025-05-28,B01,168
2025-05-28,B02,211
2025-05-28,B03,86
2025-05-28,B04,116
2025-05-28,B05,152
2025-05-29,B01,153
2025-05-29,B02,184
2025-05-29,B03,70
2025-05-29,B04,137
2025-05-29,B05,137
2025-05-30,B01,151
2025-05-30,B02,172
2025-05-30,B03,88
2025-05-30,B04,124
2025-05-30,B05,125
2025-05-31,B01,146
2025-05-31,B02,160
2025-05-31,B03,72
2025-05-31,B04,104
2025-05-31,B05,126
2025-06-01,B01,100
2025-06-01,B02,130
2025-06-01,B03,70
2025-06-01,B04,97
2025-06-01,B05,79
2025-06-02,B01,154
2025-06-02,B02,198
2025-06-02,B03,86
2025-06-02,B04,144
2025-06-02,B05,153
2025-06-03,B01,144
2025-06-03,B02,200
2025-06-03,B03,96
2025-06-03,B04,107
2025-06-03,B05,142
2025-06-04,B01,177
2025-06-04,B02,189
2025-06-04,B03,89
2025-06-04,B04,130
2025-06-04,B05,118
2025-06-05,B01,143
2025-06-05,B02,185
2025-06-05,B03,85
2025-06-05,B04,120
2025-06-05,B05,147
2025-06-06,B01,185
2025-06-06,B02,225
2025-06-06,B03,84
2025-06-06,B04,130
2025-06-06,B05,141
2025-06-07,B01,124
2025-06-07,B02,180
2025-06-07,B03,67
2025-06-07,B04,109
2025-06-07,B05,126
2025-06-08,B01,89
2025-06-08,B02,125
2025-06-08,B03,67
2025-06-08,B04,87
2025-06-08,B05,97
2025-06-09,B01,168
2025-06-09,B02,191
2025-06-09,B03,90
2025-06-09,B04,128
2025-06-09,B05,121
2025-06-10,B01,153
2025-06-10,B02,197
2025-06-10,B03,88
2025-06-10,B04,127
2025-06-10,B05,131
2025-06-11,B01,172
2025-06-11,B02,185
2025-06-11,B03,70
2025-06-11,B04,142
2025-06-11,B05,116
2025-06-12,B01,161
2025-06-12,B02,167
2025-06-12,B03,87
2025-06-12,B04,117
2025-06-12,B05,122
2025-06-13,B01,180
2025-06-13,B02,196
2025-06-13,B03,88
2025-06-13,B04,109
2025-06-13,B05,145
2025-06-14,B01,129
2025-06-14,B02,173
2025-06-14,B03,76
2025-06-14,B04,109
2025-06-14,B05,100
2025-06-15,B01,110
2025-06-15,B02,129
2025-06-15,B03,68
2025-06-15,B04,102
2025-06-15,B05,99
2025-06-16,B01,160
2025-06-16,B02,189
2025-06-16,B03,84
2025-06-16,B04,123
2025-06-16,B05,129
2025-06-17,B01,171
2025-06-17,B02,186
2025-06-17,B03,104
2025-06-17,B04,104
2025-06-17,B05,139
2025-06-18,B01,153
2025-06-18,B02,170
2025-06-18,B03,86
2025-06-18,B04,104
2025-06-18,B05,119
2025-06-19,B01,151
2025-06-19,B02,183
2025-06-19,B03,91
2025-06-19,B04,127
2025-06-19,B05,113
2025-06-20,B01,143
2025-06-20,B02,212
2025-06-20,B03,83
2025-06-20,B04,126
2025-06-20,B05,134
2025-06-21,B01,116
2025-06-21,B02,162
2025-06-21,B03,89
2025-06-21,B04,106
2025-06-21,B05,116
2025-06-22,B01,93
2025-06-22,B02,124
2025-06-22,B03,68
2025-06-22,B04,79
2025-06-22,B05,85
2025-06-23,B01,168
2025-06-23,B02,193
2025-06-23,B03,71
2025-06-23,B04,128
2025-06-23,B05,128
2025-06-24,B01,168
2025-06-24,B02,183
2025-06-24,B03,85
2025-06-24,B04,139
2025-06-24,B05,125
2025-06-25,B01,153
2025-06-25,B02,209
2025-06-25,B03,99
2025-06-25,B04,131
2025-06-25,B05,144
2025-06-26,B01,161
2025-06-26,B02,182
2025-06-26,B03,74
2025-06-26,B04,132
2025-06-26,B05,131
2025-06-27,B01,164
2025-06-27,B02,200
2025-06-27,B03,95
2025-06-27,B04,118
2025-06-27,B05,132
2025-06-28,B01,133
2025-06-28,B02,137
2025-06-28,B03,64
2025-06-28,B04,86
2025-06-28,B05,112
2025-06-29,B01,109
2025-06-29,B02,114
2025-06-29,B03,59
2025-06-29,B04,83
2025-06-29,B05,95
2025-06-30,B01,176
2025-06-30,B02,176
2025-06-30,B03,93
2025-06-30,B04,126
2025-06-30,B05,139
2025-07-01,B01,200
2025-07-01,B02,203
2025-07-01,B03,82
2025-07-01,B04,132
2025-07-01,B05,150
2025-07-02,B01,164
2025-07-02,B02,167
2025-07-02,B03,82
2025-07-02,B04,110
2025-07-02,B05,123
2025-07-03,B01,142
2025-07-03,B02,200
2025-07-03,B03,91
2025-07-03,B04,125
2025-07-03,B05,149
2025-07-04,B01,143
2025-07-04,B02,168
2025-07-04,B03,78
2025-07-04,B04,106
2025-07-04,B05,139
2025-07-05,B01,114
2025-07-05,B02,160
2025-07-05,B03,80
2025-07-05,B04,94
2025-07-05,B05,127
2025-07-06,B01,68
2025-07-06,B02,135
2025-07-06,B03,57
2025-07-06,B04,71
2025-07-06,B05,97
2025-07-07,B01,140
2025-07-07,B02,170
2025-07-07,B03,102
2025-07-07,B04,114
2025-07-07,B05,136
2025-07-08,B01,181
2025-07-08,B02,191
2025-07-08,B03,92
2025-07-08,B04,116
2025-07-08,B05,121
2025-07-09,B01,175
2025-07-09,B02,181
2025-07-09,B03,84
2025-07-09,B04,119
2025-07-09,B05,146
2025-07-10,B01,156
2025-07-10,B02,198
2025-07-10,B03,89
2025-07-10,B04,142
2025-07-10,B05,152
2025-07-11,B01,152
2025-07-11,B02,179
2025-07-11,B03,84
2025-07-11,B04,116
2025-07-11,B05,143
2025-07-12,B01,143
2025-07-12,B02,151
2025-07-12,B03,73
2025-07-12,B04,103
2025-07-12,B05,115
2025-07-13,B01,108
2025-07-13,B02,121
2025-07-13,B03,49
2025-07-13,B04,81
2025-07-13,B05,93
2025-07-14,B01,152
2025-07-14,B02,181
2025-07-14,B03,86
2025-07-14,B04,125
2025-07-14,B05,119
2025-07-15,B01,158
2025-07-15,B02,169
2025-07-15,B03,84
2025-07-15,B04,140
2025-07-15,B05,140
2025-07-16,B01,160
2025-07-16,B02,152
2025-07-16,B03,76
2025-07-16,B04,117
2025-07-16,B05,152
2025-07-17,B01,163
2025-07-17,B02,183
2025-07-17,B03,77
2025-07-17,B04,132
2025-07-17,B05,171
2025-07-18,B01,159
2025-07-18,B02,195
2025-07-18,B03,100
2025-07-18,B04,116
2025-07-18,B05,127
2025-07-19,B01,119
2025-07-19,B02,139
2025-07-19,B03,70
2025-07-19,B04,78
2025-07-19,B05,102
2025-07-20,B01,93
2025-07-20,B02,121
2025-07-20,B03,67
2025-07-20,B04,107
2025-07-20,B05,76
2025-07-21,B01,155
2025-07-21,B02,195
2025-07-21,B03,94
2025-07-21,B04,127
2025-07-21,B05,137
2025-07-22,B01,162
2025-07-22,B02,179
2025-07-22,B03,84
2025-07-22,B04,116
2025-07-22,B05,138
2025-07-23,B01,159
2025-07-23,B02,170
2025-07-23,B03,81
2025-07-23,B04,113
2025-07-23,B05,132
2025-07-24,B01,157
2025-07-24,B02,171
2025-07-24,B03,83
2025-07-24,B04,122
2025-07-24,B05,126
2025-07-25,B01,177
2025-07-25,B02,165
2025-07-25,B03,73
2025-07-25,B04,106
2025-07-25,B05,146
2025-07-26,B01,136
2025-07-26,B02,164
2025-07-26,B03,69
2025-07-26,B04,90
2025-07-26,B05,119
2025-07-27,B01,105
2025-07-27,B02,117
2025-07-27,B03,73
2025-07-27,B04,64
2025-07-27,B05,90
2025-07-28,B01,175
2025-07-28,B02,184
2025-07-28,B03,86
2025-07-28,B04,116
2025-07-28,B05,126
2025-07-29,B01,146
2025-07-29,B02,150
2025-07-29,B03,86
2025-07-29,B04,109
2025-07-29,B05,117
2025-07-30,B01,156
2025-07-30,B02,180
2025-07-30,B03,66
2025-07-30,B04,114
2025-07-30,B05,143
2025-07-31,B01,143
2025-07-31,B02,174
2025-07-31,B03,101
2025-07-31,B04,117
2025-07-31,B05,152
2025-08-01,B01,170
2025-08-01,B02,179
2025-08-01,B03,74
2025-08-01,B04,129
2025-08-01,B05,131
2025-08-02,B01,135
2025-08-02,B02,153
2025-08-02,B03,62
2025-08-02,B04,107
2025-08-02,B05,106
2025-08-03,B01,107
2025-08-03,B02,140
2025-08-03,B03,69
2025-08-03,B04,75
2025-08-03,B05,65
2025-08-04,B01,148
2025-08-04,B02,188
2025-08-04,B03,100
2025-08-04,B04,128
2025-08-04,B05,139
2025-08-05,B01,138
2025-08-05,B02,180
2025-08-05,B03,91
2025-08-05,B04,112
2025-08-05,B05,124
2025-08-06,B01,144
2025-08-06,B02,185
2025-08-06,B03,91
2025-08-06,B04,104
2025-08-06,B05,102
2025-08-07,B01,141
2025-08-07,B02,187
2025-08-07,B03,82
2025-08-07,B04,119
2025-08-07,B05,134
2025-08-08,B01,149
2025-08-08,B02,184
2025-08-08,B03,88
2025-08-08,B04,92
2025-08-08,B05,124
2025-08-09,B01,134
2025-08-09,B02,150
2025-08-09,B03,70
2025-08-09,B04,119
2025-08-09,B05,108
2025-08-10,B01,108
2025-08-10,B02,120
2025-08-10,B03,56
2025-08-10,B04,78
2025-08-10,B05,92
2025-08-11,B01,150
2025-08-11,B02,170
2025-08-11,B03,80
2025-08-11,B04,109
2025-08-11,B05,119
2025-08-12,B01,156
2025-08-12,B02,171
2025-08-12,B03,85
2025-08-12,B04,118
2025-08-12,B05,124
2025-08-13,B01,153
2025-08-13,B02,167
2025-08-13,B03,89
2025-08-13,B04,113
2025-08-13,B05,129
2025-08-14,B01,162
2025-08-14,B02,190
2025-08-14,B03,96
2025-08-14,B04,115
2025-08-14,B05,136
2025-08-15,B01,140
2025-08-15,B02,197
2025-08-15,B03,63
2025-08-15,B04,127
2025-08-15,B05,128
2025-08-16,B01,133
2025-08-16,B02,159
2025-08-16,B03,81
2025-08-16,B04,99
2025-08-16,B05,93
2025-08-17,B01,100
2025-08-17,B02,113
2025-08-17,B03,62
2025-08-17,B04,69
2025-08-17,B05,95
2025-08-18,B01,141
2025-08-18,B02,171
2025-08-18,B03,102
2025-08-18,B04,134
2025-08-18,B05,113
2025-08-19,B01,172
2025-08-19,B02,200
2025-08-19,B03,77
2025-08-19,B04,110
2025-08-19,B05,122
2025-08-20,B01,153
2025-08-20,B02,198
2025-08-20,B03,81
2025-08-20,B04,120
2025-08-20,B05,119
2025-08-21,B01,175
2025-08-21,B02,191
2025-08-21,B03,98
2025-08-21,B04,111
