member_id,branch_id,plan_id,expiring_payment_id,expiry_date,renewed,observable
M00029,B01,P1,PAY006755,2025-04-10,1,1
M00029,B01,P1,PAY007405,2025-05-05,1,1
M00029,B01,P1,PAY007929,2025-06-15,1,1
M00029,B01,P1,PAY008592,2025-07-15,1,1
M00029,B01,P1,PAY009081,2025-08-22,1,1
M00029,B01,P1,PAY009637,2025-09-19,1,1
M00029,B01,P1,PAY010011,2025-10-15,1,1
M00029,B01,P1,PAY010365,2025-11-16,0,1
M00030,B01,P1,PAY000030,2025-01-24,0,1
M00031,B01,P1,PAY000031,2025-01-24,1,1
M00031,B01,P1,PAY005640,2025-02-28,1,1
M00031,B01,P1,PAY006490,2025-04-10,1,1
M00031,B01,P1,PAY007406,2025-05-19,0,1
M00032,B01,P1,PAY000032,2025-01-06,0,1
M00033,B01,P1,PAY000033,2025-01-26,0,1
M00034,B01,P1,PAY000034,2025-01-26,1,1
M00034,B01,P1,PAY005695,2025-03-01,1,1
M00034,B01,P1,PAY006572,2025-03-28,1,1
M00034,B01,P1,PAY007169,2025-05-05,1,1
M00034,B01,P1,PAY007930,2025-06-03,1,1
M00034,B01,P1,PAY008394,2025-06-30,0,1
M00035,B01,P1,PAY000035,2025-01-30,1,1
M00035,B01,P1,PAY005821,2025-02-26,0,1
M00036,B01,P5,PAY000036,2025-06-14,1,1
M00036,B01,P5,PAY008579,2026-06-19,0,0
M00037,B01,P1,PAY000037,2025-01-15,1,1
M00037,B01,P1,PAY005375,2025-02-22,1,1
M00037,B01,P1,PAY006355,2025-03-24,1,1
M00037,B01,P1,PAY007085,2025-05-03,1,1
M00037,B01,P1,PAY007894,2025-06-05,1,1
M00037,B01,P1,PAY008439,2025-06-30,1,1
M00037,B01,P1,PAY008833,2025-08-07,1,1
M00037,B01,P1,PAY009450,2025-09-12,1,1
M00037,B01,P1,PAY009916,2025-10-12,1,1
M00037,B01,P1,PAY010317,2025-11-11,1,1
M00037,B01,P1,PAY010708,2025-12-14,0,1
M00038,B01,P1,PAY000038,2025-01-15,0,1
M00039,B01,P2,PAY000039,2025-01-26,1,1
M00039,B01,P2,PAY005696,2025-03-01,1,1
M00039,B01,P2,PAY006573,2025-04-09,0,1
M00040,B01,P1,PAY000040,2025-01-16,1,1
M00040,B01,P5,PAY005405,2026-01-18,0,1
M00041,B01,P1,PAY000041,2025-01-10,1,1
M00041,B01,P1,PAY005196,2025-02-14,1,1
M00041,B01,P1,PAY006155,2025-03-15,0,1
M00042,B01,P3,PAY000042,2025-03-16,1,1
M00042,B01,P3,PAY006893,2025-06-21,1,1
M00042,B01,P3,PAY008686,2025-09-16,1,1
M00042,B01,P3,PAY009971,2025-12-18,0,1
M00043,B01,P3,PAY000043,2025-02-01,1,1
M00043,B01,P3,PAY005866,2025-04-29,1,1
M00043,B01,P3,PAY007790,2025-08-02,1,1
M00043,B01,P3,PAY009385,2025-10-31,1,1
M00043,B01,P3,PAY010574,2026-01-30,1,1
M00044,B01,P1,PAY000044,2025-01-26,1,1
M00044,B01,P1,PAY005697,2025-02-25,1,1
M00044,B01,P1,PAY006435,2025-04-06,1,1
M00044,B01,P1,PAY007324,2025-05-11,1,1
M00044,B01,P1,PAY008040,2025-06-19,0,1
M00045,B01,P3,PAY000045,2025-02-10,1,1
M00045,B01,P3,PAY006055,2025-05-08,1,1
M00045,B01,P5,PAY007979,2026-05-11,1,1
M00046,B01,P3,PAY000046,2025-03-06,1,1
M00046,B01,P3,PAY006683,2025-06-16,0,1
M00047,B01,P2,PAY000047,2025-01-10,1,1
M00047,B01,P2,PAY005197,2025-02-07,1,1
M00047,B01,P2,PAY005987,2025-03-17,1,1
M00047,B01,P2,PAY006918,2025-04-25,1,1
M00047,B01,P2,PAY007734,2025-06-06,1,1
M00047,B01,P2,PAY008455,2025-07-03,1,1
M00047,B01,P1,PAY008895,2025-08-12,0,1
M00048,B01,P3,PAY000048,2025-02-14,1,1
M00048,B01,P3,PAY006156,2025-05-20,1,1
M00048,B01,P3,PAY008183,2025-08-17,1,1
M00048,B01,P3,PAY009574,2025-11-16,1,1
M00048,B01,P1,PAY010757,2025-12-18,1,1
M00048,B01,P1,PAY011139,2026-01-14,1,1
M00048,B01,P1,PAY011455,2026-02-19,1,1
M00048,B01,P1,PAY011915,2026-03-23,1,1
M00048,B01,P1,PAY012371,2026-04-30,1,1
M00048,B01,P1,PAY012895,2026-06-03,1,1
M00049,B01,P1,PAY000049,2025-01-04,1,1
M00049,B01,P1,PAY005027,2025-02-10,1,1
M00049,B01,P1,PAY006056,2025-03-10,1,1
M00049,B01,P1,PAY006771,2025-04-08,1,1
M00049,B01,P1,PAY007365,2025-05-05,1,1
M00049,B01,P1,PAY007931,2025-06-11,1,1
M00049,B01,P1,PAY008526,2025-07-13,1,1
M00049,B01,P1,PAY009047,2025-08-20,1,1
M00049,B01,P1,PAY009610,2025-09-17,1,1
M00049,B01,P1,PAY009984,2025-10-17,0,1
M00050,B01,P1,PAY000050,2025-01-24,1,1
M00050,B01,P1,PAY005641,2025-02-20,1,1
M00050,B01,P1,PAY006304,2025-03-25,0,1
M00051,B01,P1,PAY000051,2025-01-26,0,1
M00052,B01,P5,PAY000052,2025-04-16,1,1
M00052,B01,P5,PAY007541,2026-04-21,1,1
M00053,B01,P3,PAY000053,2025-03-16,0,1
M00054,B01,P3,PAY000054,2025-03-15,0,1
M00055,B01,P4,PAY000055,2025-01-27,0,1
M00056,B01,P2,PAY000056,2025-01-25,1,1
M00056,B01,P2,PAY005669,2025-02-28,0,1
M00057,B01,P3,PAY000057,2025-01-27,1,1
M00057,B01,P3,PAY005724,2025-04-28,1,1
M00057,B01,P3,PAY007774,2025-07-29,1,1
M00057,B01,P3,PAY009327,2025-10-31,1,1
M00057,B01,P3,PAY010575,2026-02-11,1,1
M00057,B01,P3,PAY011803,2026-05-07,1,1
M00058,B01,P2,PAY000058,2025-01-24,1,1
M00058,B01,P2,PAY005642,2025-02-25,1,1
M00058,B01,P2,PAY006436,2025-04-05,0,1
M00059,B01,P4,PAY000059,2025-03-21,1,1
M00059,B01,P4,PAY007010,2025-09-29,1,1
M00059,B01,P4,PAY010150,2026-03-30,1,1
M00060,B01,P1,PAY000060,2025-01-23,1,1
M00060,B01,P1,PAY005617,2025-02-28,1,1
M00060,B01,P1,PAY006491,2025-04-11,1,1
M00060,B01,P1,PAY007435,2025-05-06,0,1
M00061,B01,P4,PAY000061,2025-02-23,1,1
M00061,B01,P4,PAY006385,2025-08-26,1,1
M00061,B01,P4,PAY009705,2026-03-05,1,1
M00062,B01,P1,PAY000062,2025-01-19,1,1
M00062,B01,P1,PAY005490,2025-02-22,1,1
M00062,B01,P1,PAY006356,2025-04-02,1,1
M00062,B01,P1,PAY007223,2025-05-03,1,1
M00062,B01,P1,PAY007895,2025-06-01,0,1
M00063,B01,P1,PAY000063,2025-01-09,1,1
M00063,B01,P1,PAY005160,2025-02-19,1,1
M00063,B01,P1,PAY006279,2025-03-16,1,1
M00063,B01,P1,PAY006894,2025-04-22,0,1
M00064,B01,P1,PAY000064,2025-01-20,0,1
M00065,B01,P2,PAY000065,2025-01-29,1,1
M00065,B01,P2,PAY005791,2025-03-06,1,1
M00065,B01,P2,PAY006684,2025-04-15,0,1
M00066,B01,P1,PAY000066,2025-01-26,1,1
M00066,B01,P1,PAY005698,2025-02-23,0,1
M00067,B01,P3,PAY000067,2025-02-05,1,1
M00067,B01,P3,PAY005938,2025-05-14,1,1
M00067,B01,P3,PAY008082,2025-08-14,1,1
M00067,B01,P3,PAY009537,2025-11-21,1,1
M00067,B01,P3,PAY010818,2026-03-01,1,1
M00067,B01,P3,PAY012070,2026-06-04,1,1
M00068,B01,P1,PAY000068,2025-01-14,1,1
M00068,B01,P1,PAY005341,2025-02-24,0,1
M00069,B01,P1,PAY000069,2025-01-05,1,1
M00069,B01,P1,PAY005053,2025-02-14,1,1
M00069,B01,P1,PAY006157,2025-03-13,1,1
M00069,B01,P1,PAY006831,2025-04-21,1,1
M00069,B01,P1,PAY007638,2025-05-17,0,1
M00070,B01,P3,PAY000070,2025-02-13,1,1
M00070,B01,P3,PAY006131,2025-05-16,1,1
M00070,B01,P3,PAY008123,2025-08-23,1,1
M00070,B01,P3,PAY009652,2025-12-03,1,1
M00070,B01,P3,PAY010970,2026-02-28,1,1
M00070,B01,P3,PAY012031,2026-06-05,1,1
M00071,B01,P3,PAY000071,2025-01-10,1,1
M00071,B01,P3,PAY005198,2025-04-19,1,1
M00071,B01,P3,PAY007602,2025-07-22,0,1
M00072,B01,P1,PAY000072,2025-01-29,0,1
M00073,B01,P1,PAY000073,2025-01-26,1,1
M00073,B01,P1,PAY005699,2025-02-24,1,1
M00073,B01,P1,PAY006408,2025-03-20,1,1
M00073,B01,P1,PAY006987,2025-04-30,1,1
M00073,B01,P1,PAY007817,2025-06-02,0,1
M00074,B01,P5,PAY000074,2025-04-15,1,1
M00074,B01,P5,PAY007522,2026-04-17,1,1
M00075,B01,P2,PAY000075,2025-01-18,0,1
M00076,B01,P1,PAY000076,2025-01-24,1,1
M00076,B01,P1,PAY005643,2025-02-24,1,1
M00076,B01,P1,PAY006409,2025-03-19,1,1
M00076,B01,P1,PAY006957,2025-04-16,1,1
M00076,B01,P1,PAY007542,2025-05-17,1,1
M00076,B01,P1,PAY008135,2025-06-21,1,1
M00076,B01,P2,PAY008687,2025-07-23,1,1
M00076,B01,P2,PAY009216,2025-08-27,1,1
M00076,B01,P2,PAY009719,2025-10-01,1,1
M00076,B01,P1,PAY010191,2025-10-26,1,1
M00076,B01,P1,PAY010505,2025-12-04,1,1
M00076,B01,P1,PAY010983,2026-01-09,1,1
M00076,B01,P1,PAY011391,2026-02-15,1,1
M00076,B01,P1,PAY011867,2026-03-11,1,1
M00076,B01,P1,PAY012203,2026-04-07,1,1
M00076,B01,P1,PAY012560,2026-05-13,1,1
M00076,B01,P1,PAY013052,2026-06-09,1,1
M00077,B01,P1,PAY000077,2025-01-20,1,1
M00077,B01,P1,PAY005527,2025-02-22,0,1
M00078,B01,P3,PAY000078,2025-03-02,1,1
M00078,B01,P3,PAY006590,2025-06-11,0,1
M00079,B01,P4,PAY000079,2025-04-24,0,1
M00080,B01,P4,PAY000080,2025-04-20,1,1
M00080,B01,P4,PAY007622,2025-10-27,1,1
M00080,B01,P4,PAY010519,2026-04-29,1,1
M00081,B01,P5,PAY000081,2025-03-02,1,1
M00081,B01,P5,PAY006591,2026-03-04,1,1
M00082,B01,P5,PAY000082,2025-03-08,1,1
M00082,B01,P5,PAY006723,2026-03-09,1,1
M00083,B01,P5,PAY000083,2025-07-03,1,1
M00084,B01,P1,PAY000084,2025-01-16,0,1
M00085,B01,P1,PAY000085,2025-01-18,1,1
M00085,B01,P1,PAY005459,2025-02-18,1,1
M00085,B01,P1,PAY006246,2025-03-28,1,1
M00085,B01,P1,PAY007170,2025-05-07,1,1
M00085,B01,P1,PAY007959,2025-06-15,1,1
M00085,B01,P1,PAY008593,2025-07-14,1,1
M00085,B01,P1,PAY009061,2025-08-16,1,1
M00085,B01,P1,PAY009563,2025-09-18,1,1
M00085,B01,P1,PAY009995,2025-10-22,1,1
M00085,B01,P1,PAY010451,2025-11-25,0,1
M00086,B01,P1,PAY000086,2025-01-30,0,1
M00087,B01,P4,PAY000087,2025-01-12,1,1
M00087,B01,P4,PAY005268,2025-07-16,1,1
M00087,B01,P4,PAY009102,2026-01-18,1,1
M00088,B01,P3,PAY000088,2025-03-23,1,1
M00088,B01,P3,PAY007062,2025-06-29,1,1
M00088,B01,P3,PAY008810,2025-09-24,0,1
M00089,B01,P2,PAY000089,2025-01-02,1,1
M00089,B01,P2,PAY004947,2025-02-08,1,1
M00089,B01,P2,PAY006007,2025-03-06,1,1
M00089,B01,P2,PAY006685,2025-04-14,1,1
M00089,B01,P3,PAY007505,2025-07-20,1,1
M00089,B01,P3,PAY009166,2025-10-22,1,1
M00089,B01,P3,PAY010452,2026-02-01,1,1
M00089,B01,P3,PAY011684,2026-05-11,0,1
M00090,B01,P3,PAY000090,2025-01-10,1,1
M00090,B01,P3,PAY005199,2025-04-18,1,1
M00090,B01,P3,PAY007585,2025-07-15,0,1
M00091,B01,P3,PAY000091,2025-03-08,1,1
M00091,B01,P3,PAY006724,2025-06-16,0,1
M00092,B01,P5,PAY000092,2025-04-09,0,1
M00093,B01,P3,PAY000093,2025-01-26,1,1
M00093,B01,P3,PAY005700,2025-04-30,0,1
M00094,B01,P2,PAY000094,2025-01-16,1,1
M00094,B01,P2,PAY005406,2025-02-24,1,1
M00094,B01,P2,PAY006410,2025-04-05,1,1
M00094,B01,P2,PAY007302,2025-05-16,0,1
M00095,B01,P5,PAY000095,2025-10-12,1,1
M00096,B01,P3,PAY000096,2025-02-10,1,1
M00096,B01,P3,PAY006057,2025-05-08,1,1
M00096,B01,P1,PAY007980,2025-06-17,1,1
M00096,B01,P1,PAY008626,2025-07-23,1,1
M00096,B01,P3,PAY009217,2025-10-20,1,1
M00096,B01,P3,PAY010427,2026-01-23,1,1
M00096,B01,P3,PAY011574,2026-05-01,1,1
M00097,B01,P1,PAY000097,2025-01-16,1,1
M00097,B01,P1,PAY005407,2025-02-17,1,1
M00097,B01,P1,PAY006222,2025-03-24,0,1
M00098,B01,P5,PAY000098,2025-07-14,1,1
M00098,B01,P3,PAY009062,2025-10-20,0,1
M00099,B01,P5,PAY000099,2025-05-29,0,1
M00100,B01,P2,PAY000100,2025-01-22,1,1
M00100,B01,P2,PAY005587,2025-02-27,0,1
M00101,B01,P1,PAY000101,2025-01-17,1,1
M00101,B01,P1,PAY005430,2025-02-14,1,1
M00101,B01,P1,PAY006158,2025-03-10,1,1
M00101,B01,P1,PAY006772,2025-04-06,1,1
M00101,B01,P1,PAY007325,2025-05-07,1,1
M00101,B01,P1,PAY007960,2025-06-08,0,1
M00102,B01,P4,PAY000102,2025-04-08,1,1
M00102,B01,P4,PAY007366,2025-10-14,1,1
M00102,B01,P4,PAY010349,2026-04-12,1,1
M00103,B01,P3,PAY000103,2025-03-25,1,1
M00103,B01,P3,PAY007109,2025-06-29,0,1
M00104,B01,P1,PAY000104,2025-01-04,1,1
M00104,B01,P5,PAY005028,2026-01-15,1,1
M00105,B01,P3,PAY000105,2025-03-23,0,1
M00106,B01,P1,PAY000106,2025-01-27,1,1
M00106,B01,P1,PAY005725,2025-02-22,1,1
M00106,B01,P1,PAY006357,2025-03-23,1,1
M00106,B01,P1,PAY007063,2025-05-01,1,1
M00106,B01,P1,PAY007856,2025-06-09,1,1
M00106,B01,P1,PAY008504,2025-07-14,1,1
M00106,B01,P1,PAY009063,2025-08-17,1,1
M00106,B01,P1,PAY009575,2025-09-13,1,1
M00106,B01,P4,PAY009927,2026-03-12,1,1
M00107,B01,P3,PAY000107,2025-02-21,1,1
M00107,B01,P3,PAY006328,2025-05-25,1,1
M00107,B01,P3,PAY008262,2025-08-31,0,1
M00108,B01,P1,PAY000108,2025-01-25,1,1
M00108,B01,P1,PAY005670,2025-03-03,1,1
M00108,B01,P1,PAY006607,2025-04-02,1,1
M00108,B01,P1,PAY007224,2025-04-29,1,1
M00108,B01,P1,PAY007791,2025-06-05,1,1
M00108,B01,P1,PAY008440,2025-07-11,1,1
M00108,B01,P1,PAY009010,2025-08-22,0,1
M00109,B01,P5,PAY000109,2025-09-01,0,1
M00110,B01,P3,PAY000110,2025-02-09,1,1
M00110,B01,P3,PAY006029,2025-05-11,1,1
M00110,B01,P3,PAY008041,2025-08-06,1,1
M00110,B01,P3,PAY009438,2025-11-06,0,1
M00111,B01,P3,PAY000111,2025-03-06,1,1
M00111,B01,P3,PAY006686,2025-06-16,1,1
M00111,B01,P3,PAY008610,2025-09-13,0,1
M00112,B01,P2,PAY000112,2025-01-02,1,1
M00112,B01,P2,PAY004948,2025-02-10,1,1
M00112,B01,P2,PAY006058,2025-03-14,1,1
M00112,B01,P2,PAY006855,2025-04-24,1,1
M00112,B01,P2,PAY007703,2025-05-25,1,1
M00112,B01,P2,PAY008263,2025-06-23,1,1
M00112,B01,P2,PAY008715,2025-07-21,0,1
M00113,B01,P5,PAY000113,2025-07-13,1,1
M00114,B01,P3,PAY000114,2025-02-16,1,1
M00114,B01,P3,PAY006207,2025-05-24,1,1
M00114,B01,P3,PAY008249,2025-08-20,1,1
M00114,B01,P3,PAY009611,2025-11-16,1,1
M00114,B01,P3,PAY010758,2026-02-20,1,1
M00114,B01,P3,PAY011928,2026-05-20,1,1
M00115,B01,P3,PAY000115,2025-01-06,1,1
M00115,B01,P3,PAY005081,2025-04-10,1,1
M00115,B01,P3,PAY007407,2025-07-20,1,1
M00115,B01,P3,PAY009167,2025-10-23,1,1
M00115,B01,P3,PAY010464,2026-01-27,1,1
M00115,B01,P3,PAY011630,2026-05-01,1,1
M00116,B01,P4,PAY000116,2025-03-04,0,1
M00117,B01,P1,PAY000117,2025-01-24,0,1
M00118,B01,P1,PAY000118,2025-01-14,1,1
M00118,B01,P1,PAY005342,2025-02-22,1,1
M00118,B01,P1,PAY006358,2025-04-03,0,1
M00119,B01,P3,PAY000119,2025-03-03,1,1
M00119,B01,P3,PAY006608,2025-06-05,1,1
M00119,B01,P3,PAY008441,2025-09-04,0,1
M00120,B01,P3,PAY000120,2025-03-31,1,1
M00120,B01,P3,PAY007196,2025-06-28,1,1
M00120,B01,P3,PAY008798,2025-09-25,1,1
M00120,B01,P3,PAY010099,2025-12-23,1,1
M00120,B01,P3,PAY011187,2026-03-21,0,1
M00121,B01,P1,PAY000121,2025-01-03,0,1
M00122,B01,P3,PAY000122,2025-02-24,1,1
M00122,B01,P1,PAY006411,2025-03-22,1,1
M00122,B01,P1,PAY007039,2025-05-01,1,1
M00122,B01,P1,PAY007857,2025-05-29,1,1
M00122,B01,P1,PAY008336,2025-07-07,1,1
M00122,B01,P3,PAY008942,2025-10-02,0,1
M00123,B01,P5,PAY000123,2025-10-10,1,1
M00124,B01,P1,PAY000124,2025-01-16,1,1
M00124,B01,P1,PAY005408,2025-02-19,0,1
M00125,B01,P5,PAY000125,2025-05-03,1,1
M00125,B01,P5,PAY007896,2026-04-30,1,1
M00126,B01,P2,PAY000126,2025-01-14,1,1
M00126,B01,P3,PAY005343,2025-04-19,1,1
M00126,B01,P3,PAY007603,2025-07-15,1,1
M00126,B01,P3,PAY009082,2025-10-11,1,1
M00126,B01,P3,PAY010306,2026-01-20,1,1
M00126,B01,P3,PAY011532,2026-04-24,1,1
M00127,B01,P1,PAY000127,2025-01-03,1,1
M00127,B01,P1,PAY004980,2025-02-02,0,1
M00128,B01,P1,PAY000128,2025-01-02,0,1
M00129,B01,P1,PAY000129,2025-01-29,0,1
M00130,B01,P3,PAY000130,2025-02-08,1,1
M00130,B01,P3,PAY006008,2025-05-08,1,1
M00130,B01,P2,PAY007981,2025-06-17,1,1
M00130,B01,P2,PAY008627,2025-07-24,0,1
M00131,B01,P2,PAY000131,2025-01-24,0,1
M00132,B01,P4,PAY000132,2025-05-17,1,1
M00132,B01,P4,PAY008136,2025-11-19,1,1
M00132,B01,P4,PAY010797,2026-05-24,0,1
M00133,B01,P3,PAY000133,2025-03-08,1,1
M00133,B01,P3,PAY006725,2025-06-09,0,1
M00134,B01,P1,PAY000134,2025-01-26,1,1
M00134,B01,P1,PAY005701,2025-03-02,1,1
M00134,B01,P1,PAY006592,2025-04-05,1,1
M00134,B01,P1,PAY007303,2025-05-09,1,1
M00134,B01,P1,PAY007998,2025-06-18,0,1
M00135,B01,P1,PAY000135,2025-01-19,1,1
M00135,B01,P1,PAY005491,2025-02-26,1,1
M00135,B01,P2,PAY006461,2025-04-07,1,1
M00135,B01,P2,PAY007347,2025-05-18,1,1
M00135,B01,P2,PAY008155,2025-06-26,1,1
M00135,B01,P2,PAY008764,2025-08-05,0,1
M00136,B01,P5,PAY000136,2025-05-26,1,1
M00136,B01,P5,PAY008281,2026-06-01,1,1
M00137,B01,P3,PAY000137,2025-02-09,1,1
M00137,B01,P3,PAY006030,2025-05-13,1,1
M00137,B01,P3,PAY008068,2025-08-14,1,1
M00137,B01,P3,PAY009538,2025-11-11,1,1
M00137,B01,P3,PAY010709,2026-02-11,1,1
M00137,B01,P3,PAY011804,2026-05-14,1,1
M00138,B01,P2,PAY000138,2025-01-30,1,1
M00138,B01,P2,PAY005822,2025-03-08,0,1
M00139,B01,P3,PAY000139,2025-02-20,1,1
M00139,B01,P3,PAY006305,2025-06-02,1,1
M00139,B01,P3,PAY008376,2025-09-13,1,1
M00139,B01,P3,PAY009928,2025-12-20,0,1
M00140,B01,P3,PAY000140,2025-03-08,1,1
M00140,B01,P3,PAY006726,2025-06-16,0,1
M00141,B01,P1,PAY000141,2025-01-13,1,1
M00141,B01,P1,PAY005303,2025-02-12,1,1
M00141,B01,P1,PAY006106,2025-03-11,1,1
M00141,B01,P1,PAY006791,2025-04-10,1,1
M00141,B01,P1,PAY007408,2025-05-08,1,1
M00141,B01,P1,PAY007982,2025-06-14,1,1
M00141,B01,P1,PAY008580,2025-07-12,0,1
M00142,B01,P3,PAY000142,2025-03-09,0,1
M00143,B01,P1,PAY000143,2025-01-03,1,1
M00143,B01,P1,PAY004981,2025-02-09,1,1
M00143,B01,P1,PAY006031,2025-03-17,1,1
M00143,B01,P3,PAY006919,2025-06-21,1,1
M00143,B01,P3,PAY008688,2025-09-29,1,1
M00143,B01,P3,PAY010151,2026-01-10,0,1
M00144,B01,P3,PAY000144,2025-03-16,1,1
M00144,B01,P2,PAY006895,2025-04-20,1,1
M00144,B01,P2,PAY007623,2025-05-26,1,1
M00144,B01,P2,PAY008282,2025-06-30,1,1
M00144,B01,P2,PAY008834,2025-08-08,0,1
M00145,B01,P2,PAY000145,2025-01-09,1,1
M00145,B01,P2,PAY005161,2025-02-18,1,1
M00145,B01,P2,PAY006247,2025-03-28,1,1
M00145,B01,P2,PAY007171,2025-04-23,1,1
M00145,B01,P2,PAY007684,2025-05-21,1,1
M00145,B01,P2,PAY008198,2025-06-20,1,1
M00145,B01,P5,PAY008676,2026-06-15,1,1
M00146,B01,P1,PAY000146,2025-01-19,1,1
M00146,B01,P1,PAY005492,2025-02-28,1,1
M00146,B01,P1,PAY006492,2025-04-05,1,1
M00146,B01,P1,PAY007304,2025-05-03,0,1
M00147,B01,P3,PAY000147,2025-01-27,1,1
M00147,B01,P3,PAY005726,2025-05-03,1,1
M00147,B01,P3,PAY007897,2025-08-07,1,1
M00147,B01,P3,PAY009451,2025-11-03,1,1
M00147,B01,P3,PAY010596,2026-02-11,1,1
M00147,B01,P3,PAY011805,2026-05-15,1,1
M00148,B01,P4,PAY000148,2025-04-26,1,1
M00148,B01,P4,PAY007752,2025-11-06,1,1
M00148,B01,P4,PAY010641,2026-05-08,1,1
M00149,B01,P1,PAY000149,2025-01-18,1,1
M00149,B01,P1,PAY005460,2025-02-15,0,1
M00150,B01,P3,PAY000150,2025-03-13,1,1
M00150,B01,P3,PAY006832,2025-06-22,1,1
M00150,B01,P3,PAY008697,2025-09-22,1,1
M00150,B01,P3,PAY010055,2025-12-23,1,1
M00150,B01,P3,PAY011188,2026-03-19,0,1
M00151,B01,P1,PAY000151,2025-01-02,1,1
M00151,B01,P1,PAY004949,2025-02-01,1,1
M00151,B01,P1,PAY005867,2025-02-28,1,1
