service_txn_id,service_date,branch_id,service_type,amount,direct_cost
GS000109,2025-01-02,B01,Personal Training,650,380
GS000110,2025-01-02,B01,Personal Training,650,380
GS000111,2025-01-02,B01,Personal Training,650,380
GS000112,2025-01-02,B01,Personal Training,650,380
GS000113,2025-01-02,B01,Group Class,250,90
GS000114,2025-01-02,B01,Group Class,250,90
GS000115,2025-01-02,B01,Group Class,250,90
GS000116,2025-01-02,B01,Group Class,250,90
GS000117,2025-01-02,B01,Group Class,250,90
GS000118,2025-01-02,B01,Group Class,250,90
GS000119,2025-01-02,B01,Group Class,250,90
GS000120,2025-01-02,B01,Group Class,250,90
GS000121,2025-01-02,B01,Group Class,250,90
GS000122,2025-01-02,B01,Day Pass,150,20
GS000123,2025-01-02,B01,Day Pass,150,20
GS000124,2025-01-02,B01,Day Pass,150,20
GS000125,2025-01-02,B01,Day Pass,150,20
GS000126,2025-01-02,B01,Day Pass,150,20
GS000127,2025-01-02,B01,Day Pass,150,20
GS000128,2025-01-02,B01,Day Pass,150,20
GS000129,2025-01-02,B01,Day Pass,150,20
GS000130,2025-01-02,B01,Day Pass,150,20
GS000131,2025-01-02,B01,Day Pass,150,20
GS000132,2025-01-02,B01,Day Pass,150,20
GS000133,2025-01-02,B02,Personal Training,650,380
GS000134,2025-01-02,B02,Personal Training,650,380
GS000135,2025-01-02,B02,Personal Training,650,380
GS000136,2025-01-02,B02,Personal Training,650,380
GS000137,2025-01-02,B02,Group Class,250,90
GS000138,2025-01-02,B02,Group Class,250,90
GS000139,2025-01-02,B02,Group Class,250,90
GS000140,2025-01-02,B02,Group Class,250,90
GS000141,2025-01-02,B02,Group Class,250,90
GS000142,2025-01-02,B02,Group Class,250,90
GS000143,2025-01-02,B02,Group Class,250,90
GS000144,2025-01-02,B02,Group Class,250,90
GS000145,2025-01-02,B02,Group Class,250,90
GS000146,2025-01-02,B02,Group Class,250,90
GS000147,2025-01-02,B02,Group Class,250,90
GS000148,2025-01-02,B02,Group Class,250,90
GS000149,2025-01-02,B02,Group Class,250,90
GS000150,2025-01-02,B02,Group Class,250,90
GS000151,2025-01-02,B02,Group Class,250,90
GS000152,2025-01-02,B02,Group Class,250,90
GS000153,2025-01-02,B02,Day Pass,150,20
GS000154,2025-01-02,B02,Day Pass,150,20
GS000155,2025-01-02,B02,Day Pass,150,20
GS000156,2025-01-02,B02,Day Pass,150,20
GS000157,2025-01-02,B02,Day Pass,150,20
GS000158,2025-01-02,B03,Personal Training,650,380
GS000159,2025-01-02,B03,Group Class,250,90
GS000160,2025-01-02,B03,Group Class,250,90
GS000161,2025-01-02,B03,Group Class,250,90
GS000162,2025-01-02,B03,Group Class,250,90
GS000163,2025-01-02,B03,Group Class,250,90
GS000164,2025-01-02,B03,Day Pass,150,20
GS000165,2025-01-02,B03,Day Pass,150,20
GS000166,2025-01-02,B03,Day Pass,150,20
GS000167,2025-01-02,B03,Day Pass,150,20
GS000168,2025-01-02,B03,Day Pass,150,20
GS000169,2025-01-02,B03,Day Pass,150,20
GS000170,2025-01-02,B03,Day Pass,150,20
GS000171,2025-01-02,B03,Day Pass,150,20
GS000172,2025-01-02,B03,Day Pass,150,20
GS000173,2025-01-02,B03,Day Pass,150,20
GS000174,2025-01-02,B04,Personal Training,650,380
GS000175,2025-01-02,B04,Group Class,250,90
GS000176,2025-01-02,B04,Group Class,250,90
GS000177,2025-01-02,B04,Group Class,250,90
GS000178,2025-01-02,B04,Group Class,250,90
GS000179,2025-01-02,B04,Group Class,250,90
GS000180,2025-01-02,B04,Group Class,250,90
GS000181,2025-01-02,B04,Group Class,250,90
GS000182,2025-01-02,B04,Group Class,250,90
GS000183,2025-01-02,B04,Group Class,250,90
GS000184,2025-01-02,B04,Group Class,250,90
GS000185,2025-01-02,B04,Group Class,250,90
GS000186,2025-01-02,B04,Group Class,250,90
GS000187,2025-01-02,B04,Group Class,250,90
GS000188,2025-01-02,B04,Group Class,250,90
GS000189,2025-01-02,B04,Day Pass,150,20
GS000190,2025-01-02,B04,Day Pass,150,20
GS000191,2025-01-02,B04,Day Pass,150,20
GS000192,2025-01-02,B04,Day Pass,150,20
GS000193,2025-01-02,B04,Day Pass,150,20
GS000194,2025-01-02,B04,Day Pass,150,20
GS000195,2025-01-02,B04,Day Pass,150,20
GS000196,2025-01-02,B05,Personal Training,650,380
GS000197,2025-01-02,B05,Personal Training,650,380
GS000198,2025-01-02,B05,Personal Training,650,380
GS000199,2025-01-02,B05,Personal Training,650,380
GS000200,2025-01-02,B05,Personal Training,650,380
GS000201,2025-01-02,B05,Group Class,250,90
GS000202,2025-01-02,B05,Group Class,250,90
GS000203,2025-01-02,B05,Group Class,250,90
GS000204,2025-01-02,B05,Group Class,250,90
GS000205,2025-01-02,B05,Group Class,250,90
GS000206,2025-01-02,B05,Group Class,250,90
GS000207,2025-01-02,B05,Group Class,250,90
GS000208,2025-01-02,B05,Group Class,250,90
GS000209,2025-01-02,B05,Group Class,250,90
GS000210,2025-01-02,B05,Group Class,250,90
GS000211,2025-01-02,B05,Group Class,250,90
GS000212,2025-01-02,B05,Group Class,250,90
GS000213,2025-01-02,B05,Group Class,250,90
GS000214,2025-01-02,B05,Day Pass,150,20
GS000215,2025-01-02,B05,Day Pass,150,20
GS000216,2025-01-02,B05,Day Pass,150,20
GS000217,2025-01-03,B01,Personal Training,650,380
GS000218,2025-01-03,B01,Group Class,250,90
GS000219,2025-01-03,B01,Group Class,250,90
GS000220,2025-01-03,B01,Group Class,250,90
GS000221,2025-01-03,B01,Group Class,250,90
GS000222,2025-01-03,B01,Group Class,250,90
GS000223,2025-01-03,B01,Group Class,250,90
GS000224,2025-01-03,B01,Group Class,250,90
GS000225,2025-01-03,B01,Group Class,250,90
GS000226,2025-01-03,B01,Group Class,250,90
GS000227,2025-01-03,B01,Group Class,250,90
GS000228,2025-01-03,B01,Group Class,250,90
GS000229,2025-01-03,B01,Group Class,250,90
GS000230,2025-01-03,B01,Group Class,250,90
GS000231,2025-01-03,B01,Group Class,250,90
GS000232,2025-01-03,B01,Group Class,250,90
GS000233,2025-01-03,B01,Group Class,250,90
GS000234,2025-01-03,B01,Group Class,250,90
GS000235,2025-01-03,B01,Group Class,250,90
GS000236,2025-01-03,B01,Group Class,250,90
GS000237,2025-01-03,B01,Group Class,250,90
GS000238,2025-01-03,B01,Day Pass,150,20
GS000239,2025-01-03,B01,Day Pass,150,20
GS000240,2025-01-03,B01,Day Pass,150,20
GS000241,2025-01-03,B01,Day Pass,150,20
GS000242,2025-01-03,B01,Day Pass,150,20
GS000243,2025-01-03,B01,Day Pass,150,20
GS000244,2025-01-03,B01,Day Pass,150,20
GS000245,2025-01-03,B01,Day Pass,150,20
GS000246,2025-01-03,B02,Personal Training,650,380
GS000247,2025-01-03,B02,Personal Training,650,380
GS000248,2025-01-03,B02,Personal Training,650,380
GS000249,2025-01-03,B02,Personal Training,650,380
GS000250,2025-01-03,B02,Group Class,250,90
GS000251,2025-01-03,B02,Group Class,250,90
GS000252,2025-01-03,B02,Group Class,250,90
GS000253,2025-01-03,B02,Group Class,250,90
GS000254,2025-01-03,B02,Group Class,250,90
GS000255,2025-01-03,B02,Group Class,250,90
GS000256,2025-01-03,B02,Group Class,250,90
GS000257,2025-01-03,B02,Group Class,250,90
GS000258,2025-01-03,B02,Group Class,250,90
GS000259,2025-01-03,B02,Group Class,250,90
GS000260,2025-01-03,B02,Group Class,250,90
GS000261,2025-01-03,B02,Group Class,250,90
GS000262,2025-01-03,B02,Group Class,250,90
GS000263,2025-01-03,B02,Group Class,250,90
GS000264,2025-01-03,B02,Group Class,250,90
GS000265,2025-01-03,B02,Group Class,250,90
GS000266,2025-01-03,B02,Group Class,250,90
GS000267,2025-01-03,B02,Group Class,250,90
GS000268,2025-01-03,B02,Group Class,250,90
GS000269,2025-01-03,B02,Day Pass,150,20
GS000270,2025-01-03,B02,Day Pass,150,20
GS000271,2025-01-03,B02,Day Pass,150,20
GS000272,2025-01-03,B02,Day Pass,150,20
GS000273,2025-01-03,B02,Day Pass,150,20
GS000274,2025-01-03,B02,Day Pass,150,20
GS000275,2025-01-03,B02,Day Pass,150,20
GS000276,2025-01-03,B03,Personal Training,650,380
GS000277,2025-01-03,B03,Personal Training,650,380
GS000278,2025-01-03,B03,Group Class,250,90
GS000279,2025-01-03,B03,Group Class,250,90
GS000280,2025-01-03,B03,Group Class,250,90
GS000281,2025-01-03,B03,Day Pass,150,20
GS000282,2025-01-03,B03,Day Pass,150,20
GS000283,2025-01-03,B03,Day Pass,150,20
GS000284,2025-01-03,B03,Day Pass,150,20
GS000285,2025-01-03,B03,Day Pass,150,20
GS000286,2025-01-03,B03,Day Pass,150,20
GS000287,2025-01-03,B03,Day Pass,150,20
GS000288,2025-01-03,B04,Personal Training,650,380
GS000289,2025-01-03,B04,Personal Training,650,380
GS000290,2025-01-03,B04,Personal Training,650,380
GS000291,2025-01-03,B04,Personal Training,650,380
GS000292,2025-01-03,B04,Personal Training,650,380
GS000293,2025-01-03,B04,Personal Training,650,380
GS000294,2025-01-03,B04,Personal Training,650,380
GS000295,2025-01-03,B04,Personal Training,650,380
GS000296,2025-01-03,B04,Personal Training,650,380
GS000297,2025-01-03,B04,Personal Training,650,380
GS000298,2025-01-03,B04,Group Class,250,90
GS000299,2025-01-03,B04,Group Class,250,90
GS000300,2025-01-03,B04,Group Class,250,90
GS000301,2025-01-03,B04,Group Class,250,90
GS000302,2025-01-03,B04,Group Class,250,90
GS000303,2025-01-03,B04,Group Class,250,90
GS000304,2025-01-03,B04,Group Class,250,90
GS000305,2025-01-03,B04,Group Class,250,90
GS000306,2025-01-03,B04,Group Class,250,90
GS000307,2025-01-03,B04,Group Class,250,90
GS000308,2025-01-03,B04,Group Class,250,90
GS000309,2025-01-03,B04,Day Pass,150,20
GS000310,2025-01-03,B04,Day Pass,150,20
GS000311,2025-01-03,B04,Day Pass,150,20
GS000312,2025-01-03,B04,Day Pass,150,20
GS000313,2025-01-03,B05,Personal Training,650,380
GS000314,2025-01-03,B05,Personal Training,650,380
GS000315,2025-01-03,B05,Group Class,250,90
GS000316,2025-01-03,B05,Group Class,250,90
GS000317,2025-01-03,B05,Group Class,250,90
GS000318,2025-01-03,B05,Group Class,250,90
GS000319,2025-01-03,B05,Group Class,250,90
GS000320,2025-01-03,B05,Group Class,250,90
GS000321,2025-01-03,B05,Group Class,250,90
GS000322,2025-01-03,B05,Group Class,250,90
GS000323,2025-01-03,B05,Group Class,250,90
GS000324,2025-01-03,B05,Group Class,250,90
GS000325,2025-01-03,B05,Group Class,250,90
GS000326,2025-01-03,B05,Group Class,250,90
GS000327,2025-01-03,B05,Group Class,250,90
GS000328,2025-01-03,B05,Group Class,250,90
GS000329,2025-01-03,B05,Group Class,250,90
GS000330,2025-01-03,B05,Group Class,250,90
GS000331,2025-01-03,B05,Day Pass,150,20
GS000332,2025-01-03,B05,Day Pass,150,20
GS000333,2025-01-03,B05,Day Pass,150,20
GS000334,2025-01-03,B05,Day Pass,150,20
GS000335,2025-01-03,B05,Day Pass,150,20
GS000336,2025-01-03,B05,Day Pass,150,20
GS000337,2025-01-03,B05,Day Pass,150,20
GS000338,2025-01-03,B05,Day Pass,150,20
GS000339,2025-01-03,B05,Day Pass,150,20
GS000340,2025-01-04,B01,Personal Training,650,380
GS000341,2025-01-04,B01,Personal Training,650,380
GS000342,2025-01-04,B01,Personal Training,650,380
GS000343,2025-01-04,B01,Personal Training,650,380
GS000344,2025-01-04,B01,Personal Training,650,380
GS000345,2025-01-04,B01,Personal Training,650,380
GS000346,2025-01-04,B01,Personal Training,650,380
GS000347,2025-01-04,B01,Personal Training,650,380
GS000348,2025-01-04,B01,Personal Training,650,380
GS000349,2025-01-04,B01,Personal Training,650,380
GS000350,2025-01-04,B01,Group Class,250,90
GS000351,2025-01-04,B01,Group Class,250,90
GS000352,2025-01-04,B01,Group Class,250,90
GS000353,2025-01-04,B01,Group Class,250,90
GS000354,2025-01-04,B01,Group Class,250,90
GS000355,2025-01-04,B01,Group Class,250,90
GS000356,2025-01-04,B01,Group Class,250,90
GS000357,2025-01-04,B01,Group Class,250,90
GS000358,2025-01-04,B01,Group Class,250,90
GS000359,2025-01-04,B01,Group Class,250,90
GS000360,2025-01-04,B01,Day Pass,150,20
GS000361,2025-01-04,B01,Day Pass,150,20
GS000362,2025-01-04,B02,Personal Training,650,380
GS000363,2025-01-04,B02,Personal Training,650,380
GS000364,2025-01-04,B02,Personal Training,650,380
GS000365,2025-01-04,B02,Personal Training,650,380
GS000366,2025-01-04,B02,Personal Training,650,380
GS000367,2025-01-04,B02,Personal Training,650,380
GS000368,2025-01-04,B02,Group Class,250,90
GS000369,2025-01-04,B02,Group Class,250,90
GS000370,2025-01-04,B02,Group Class,250,90
GS000371,2025-01-04,B02,Group Class,250,90
GS000372,2025-01-04,B02,Group Class,250,90
GS000373,2025-01-04,B02,Group Class,250,90
GS000374,2025-01-04,B02,Group Class,250,90
GS000375,2025-01-04,B02,Group Class,250,90
GS000376,2025-01-04,B02,Group Class,250,90
GS000377,2025-01-04,B02,Day Pass,150,20
GS000378,2025-01-04,B02,Day Pass,150,20
GS000379,2025-01-04,B02,Day Pass,150,20
GS000380,2025-01-04,B02,Day Pass,150,20
GS000381,2025-01-04,B02,Day Pass,150,20
GS000382,2025-01-04,B02,Day Pass,150,20
GS000383,2025-01-04,B02,Day Pass,150,20
GS000384,2025-01-04,B02,Day Pass,150,20
GS000385,2025-01-04,B02,Day Pass,150,20
GS000386,2025-01-04,B02,Day Pass,150,20
GS000387,2025-01-04,B02,Day Pass,150,20
GS000388,2025-01-04,B03,Personal Training,650,380
GS000389,2025-01-04,B03,Personal Training,650,380
GS000390,2025-01-04,B03,Group Class,250,90
GS000391,2025-01-04,B03,Group Class,250,90
GS000392,2025-01-04,B03,Group Class,250,90
GS000393,2025-01-04,B03,Group Class,250,90
GS000394,2025-01-04,B03,Group Class,250,90
GS000395,2025-01-04,B03,Group Class,250,90
GS000396,2025-01-04,B03,Group Class,250,90
GS000397,2025-01-04,B03,Group Class,250,90
GS000398,2025-01-04,B03,Group Class,250,90
GS000399,2025-01-04,B03,Day Pass,150,20
GS000400,2025-01-04,B03,Day Pass,150,20
GS000401,2025-01-04,B03,Day Pass,150,20
GS000402,2025-01-04,B04,Personal Training,650,380
GS000403,2025-01-04,B04,Personal Training,650,380
GS000404,2025-01-04,B04,Group Class,250,90
GS000405,2025-01-04,B04,Group Class,250,90
GS000406,2025-01-04,B04,Group Class,250,90
GS000407,2025-01-04,B04,Group Class,250,90
GS000408,2025-01-04,B04,Group Class,250,90
GS000409,2025-01-04,B04,Group Class,250,90
GS000410,2025-01-04,B04,Group Class,250,90
GS000411,2025-01-04,B04,Group Class,250,90
GS000412,2025-01-04,B04,Group Class,250,90
GS000413,2025-01-04,B04,Group Class,250,90
GS000414,2025-01-04,B04,Day Pass,150,20
GS000415,2025-01-04,B04,Day Pass,150,20
GS000416,2025-01-04,B04,Day Pass,150,20
GS000417,2025-01-04,B04,Day Pass,150,20
GS000418,2025-01-04,B04,Day Pass,150,20
GS000419,2025-01-04,B04,Day Pass,150,20
GS000420,2025-01-04,B04,Day Pass,150,20
GS000421,2025-01-04,B05,Personal Training,650,380
GS000422,2025-01-04,B05,Personal Training,650,380
GS000423,2025-01-04,B05,Personal Training,650,380
GS000424,2025-01-04,B05,Personal Training,650,380
GS000425,2025-01-04,B05,Personal Training,650,380
GS000426,2025-01-04,B05,Personal Training,650,380
GS000427,2025-01-04,B05,Group Class,250,90
GS000428,2025-01-04,B05,Group Class,250,90
GS000429,2025-01-04,B05,Group Class,250,90
GS000430,2025-01-04,B05,Group Class,250,90
GS000431,2025-01-04,B05,Group Class,250,90
GS000432,2025-01-04,B05,Group Class,250,90
GS000433,2025-01-04,B05,Group Class,250,90
GS000434,2025-01-04,B05,Group Class,250,90
GS000435,2025-01-04,B05,Group Class,250,90
GS000436,2025-01-04,B05,Group Class,250,90
GS000437,2025-01-04,B05,Day Pass,150,20
GS000438,2025-01-04,B05,Day Pass,150,20
GS000439,2025-01-04,B05,Day Pass,150,20
GS000440,2025-01-04,B05,Day Pass,150,20
GS000441,2025-01-05,B01,Personal Training,650,380
GS000442,2025-01-05,B01,Personal Training,650,380
GS000443,2025-01-05,B01,Personal Training,650,380
GS000444,2025-01-05,B01,Personal Training,650,380
GS000445,2025-01-05,B01,Personal Training,650,380
GS000446,2025-01-05,B01,Group Class,250,90
GS000447,2025-01-05,B01,Group Class,250,90
GS000448,2025-01-05,B01,Group Class,250,90
GS000449,2025-01-05,B01,Group Class,250,90
GS000450,2025-01-05,B01,Group Class,250,90
GS000451,2025-01-05,B01,Group Class,250,90
GS000452,2025-01-05,B01,Group Class,250,90
GS000453,2025-01-05,B01,Group Class,250,90
GS000454,2025-01-05,B01,Group Class,250,90
GS000455,2025-01-05,B01,Group Class,250,90
GS000456,2025-01-05,B01,Group Class,250,90
GS000457,2025-01-05,B01,Group Class,250,90
GS000458,2025-01-05,B01,Group Class,250,90
GS000459,2025-01-05,B01,Group Class,250,90
GS000460,2025-01-05,B01,Group Class,250,90
GS000461,2025-01-05,B01,Group Class,250,90
GS000462,2025-01-05,B01,Day Pass,150,20
GS000463,2025-01-05,B01,Day Pass,150,20
GS000464,2025-01-05,B01,Day Pass,150,20
GS000465,2025-01-05,B01,Day Pass,150,20
GS000466,2025-01-05,B01,Day Pass,150,20
GS000467,2025-01-05,B01,Day Pass,150,20
GS000468,2025-01-05,B02,Personal Training,650,380
GS000469,2025-01-05,B02,Personal Training,650,380
GS000470,2025-01-05,B02,Personal Training,650,380
GS000471,2025-01-05,B02,Personal Training,650,380
GS000472,2025-01-05,B02,Group Class,250,90
GS000473,2025-01-05,B02,Group Class,250,90
GS000474,2025-01-05,B02,Group Class,250,90
GS000475,2025-01-05,B02,Group Class,250,90
GS000476,2025-01-05,B02,Group Class,250,90
GS000477,2025-01-05,B02,Group Class,250,90
GS000478,2025-01-05,B02,Group Class,250,90
GS000479,2025-01-05,B02,Group Class,250,90
GS000480,2025-01-05,B02,Group Class,250,90
GS000481,2025-01-05,B02,Group Class,250,90
GS000482,2025-01-05,B02,Group Class,250,90
GS000483,2025-01-05,B02,Group Class,250,90
GS000484,2025-01-05,B02,Group Class,250,90
GS000485,2025-01-05,B02,Group Class,250,90
GS000486,2025-01-05,B02,Day Pass,150,20
GS000487,2025-01-05,B02,Day Pass,150,20
GS000488,2025-01-05,B02,Day Pass,150,20
GS000489,2025-01-05,B02,Day Pass,150,20
GS000490,2025-01-05,B02,Day Pass,150,20
GS000491,2025-01-05,B03,Personal Training,650,380
GS000492,2025-01-05,B03,Group Class,250,90
GS000493,2025-01-05,B03,Group Class,250,90
GS000494,2025-01-05,B03,Group Class,250,90
GS000495,2025-01-05,B03,Group Class,250,90
GS000496,2025-01-05,B03,Day Pass,150,20
GS000497,2025-01-05,B03,Day Pass,150,20
GS000498,2025-01-05,B03,Day Pass,150,20
GS000499,2025-01-05,B03,Day Pass,150,20
GS000500,2025-01-05,B03,Day Pass,150,20
GS000501,2025-01-05,B04,Personal Training,650,380
GS000502,2025-01-05,B04,Personal Training,650,380
GS000503,2025-01-05,B04,Personal Training,650,380
GS000504,2025-01-05,B04,Personal Training,650,380
GS000505,2025-01-05,B04,Personal Training,650,380
GS000506,2025-01-05,B04,Group Class,250,90
GS000507,2025-01-05,B04,Group Class,250,90
GS000508,2025-01-05,B04,Group Class,250,90
GS000509,2025-01-05,B04,Group Class,250,90
GS000510,2025-01-05,B04,Group Class,250,90
GS000511,2025-01-05,B04,Group Class,250,90
GS000512,2025-01-05,B04,Group Class,250,90
GS000513,2025-01-05,B04,Group Class,250,90
GS000514,2025-01-05,B04,Group Class,250,90
GS000515,2025-01-05,B04,Group Class,250,90
GS000516,2025-01-05,B04,Group Class,250,90
GS000517,2025-01-05,B04,Group Class,250,90
GS000518,2025-01-05,B04,Group Class,250,90
GS000519,2025-01-05,B04,Day Pass,150,20
GS000520,2025-01-05,B04,Day Pass,150,20
GS000521,2025-01-05,B04,Day Pass,150,20
GS000522,2025-01-05,B04,Day Pass,150,20
GS000523,2025-01-05,B04,Day Pass,150,20
GS000524,2025-01-05,B05,Personal Training,650,380
GS000525,2025-01-05,B05,Personal Training,650,380
GS000526,2025-01-05,B05,Personal Training,650,380
GS000527,2025-01-05,B05,Personal Training,650,380
GS000528,2025-01-05,B05,Group Class,250,90
GS000529,2025-01-05,B05,Group Class,250,90
GS000530,2025-01-05,B05,Group Class,250,90
GS000531,2025-01-05,B05,Group Class,250,90
GS000532,2025-01-05,B05,Group Class,250,90
GS000533,2025-01-05,B05,Group Class,250,90
GS000534,2025-01-05,B05,Group Class,250,90
GS000535,2025-01-05,B05,Group Class,250,90
GS000536,2025-01-05,B05,Group Class,250,90
GS000537,2025-01-05,B05,Group Class,250,90
GS000538,2025-01-05,B05,Group Class,250,90
GS000539,2025-01-05,B05,Group Class,250,90
GS000540,2025-01-05,B05,Group Class,250,90
GS000541,2025-01-05,B05,Day Pass,150,20
GS000542,2025-01-05,B05,Day Pass,150,20
GS000543,2025-01-05,B05,Day Pass,150,20
GS000544,2025-01-05,B05,Day Pass,150,20
GS000545,2025-01-05,B05,Day Pass,150,20
GS000546,2025-01-05,B05,Day Pass,150,20
GS000547,2025-01-05,B05,Day Pass,150,20
GS000548,2025-01-05,B05,Day Pass,150,20
GS000549,2025-01-05,B05,Day Pass,150,20
GS000550,2025-01-06,B01,Personal Training,650,380
GS000551,2025-01-06,B01,Personal Training,650,380
GS000552,2025-01-06,B01,Personal Training,650,380
GS000553,2025-01-06,B01,Personal Training,650,380
GS000554,2025-01-06,B01,Personal Training,650,380
GS000555,2025-01-06,B01,Personal Training,650,380
GS000556,2025-01-06,B01,Group Class,250,90
GS000557,2025-01-06,B01,Group Class,250,90
GS000558,2025-01-06,B01,Group Class,250,90
GS000559,2025-01-06,B01,Group Class,250,90
GS000560,2025-01-06,B01,Group Class,250,90
GS000561,2025-01-06,B01,Group Class,250,90
GS000562,2025-01-06,B01,Group Class,250,90
GS000563,2025-01-06,B01,Group Class,250,90
GS000564,2025-01-06,B01,Group Class,250,90
GS000565,2025-01-06,B01,Group Class,250,90
GS000566,2025-01-06,B01,Group Class,250,90
GS000567,2025-01-06,B01,Group Class,250,90
GS000568,2025-01-06,B01,Group Class,250,90
GS000569,2025-01-06,B01,Group Class,250,90
GS000570,2025-01-06,B01,Day Pass,150,20
