payment_id,member_id,branch_id,plan_id,payment_date,payment_type,amount
PAY000098,M00098,B01,P5,2024-07-14,Renewal,13500
PAY002488,M02488,B03,P4,07/14/2024,Renewal,7500
PAY002625,M02625,B03,P5,07/14/2024,New,13500
PAY003992,M03992,B05,P4,2024-07-15,New,7500
PAY001278,M01278,B02,P4,2024-07-16,Renewal,7500
PAY003968,M03968,B05,P5,2024-07-16,New,13500
PAY003315,M03315,B04,P4,2024-07-17,Renewal,7500
PAY001551,M01551,B02,P4,2024-07-17,Renewal,7500
PAY004186,M04186,B05,P4,2024-07-17,New,7500
PAY000239,M00239,B01,P5,2024-07-17,Renewal,13500
PAY000002,M00002,B01,P5,2024-07-18,New,13500
PAY004383,M04383,B05,P4,2024-07-19,New,7500
PAY002660,M02660,B03,P5,07/20/2024,Renewal,13500
PAY001596,M01596,B02,P4,2024-07-20,Renewal,7500
PAY001654,M01654,B02,P5,2024-07-20,Renewal,13500
PAY001606,M01606,B02,P4,2024-07-21,Renewal,7500
PAY001206,M01206,B02,P4,2024-07-22,Renewal,7500
PAY004004,M04004,B05,P4,2024-07-22,New,7500
PAY001480,M01480,B02,P5,2024-07-23,Renewal,13500
PAY004359,M04359,B05,P4,2024-07-23,New,7500
PAY000013,M00013,B01,P5,2024-07-23,Renewal,13500
PAY003382,M03382,B04,P4,2024-07-24,Renewal,7500
PAY001177,M01177,B02,P4,2024-07-24,Renewal,7500
PAY002570,M02570,B03,P4,07/24/2024,Renewal,7500
PAY000304,M00304,B01,P5,2024-07-24,Renewal,13500
PAY004331,M04331,B05,P5,2024-07-24,New,13500
PAY003420,M03420,B04,P5,2024-07-25,Renewal,13500
PAY004102,M04102,B05,P4,2024-07-25,New,7500
PAY001531,M01531,B02,P4,2024-07-26,Renewal,7500
PAY001394,M01394,B02,P5,2024-07-26,Renewal,13500
PAY001158,M01158,B02,P4,2024-07-26,Renewal,7500
PAY000055,M00055,B01,P4,2024-07-27,Renewal,7500
PAY003199,M03199,B04,P4,2024-07-27,Renewal,7500
PAY001398,M01398,B02,P4,2024-07-28,Renewal,7500
PAY003283,M03283,B04,P4,2024-07-29,New,7500
PAY000391,M00391,B01,P4,2024-07-29,Renewal,7500
PAY002707,M02707,B03,P4,07/30/2024,Renewal,7500
PAY004357,M04357,B05,P5,2024-07-30,New,13500
PAY003481,M03481,B04,P4,2024-07-31,Renewal,7500
PAY002634,M02634,B03,P5,07/31/2024,New,13500
PAY000320,M00320,B01,P4,2024-08-01,Renewal,7500
PAY000025,M00025,B01,P5,2024-08-01,New,13500
PAY003122,M03122,B04,P4,2024-08-01,Renewal,7500
PAY003234,M03234,B04,P4,2024-08-03,Renewal,7500
PAY001504,M01504,B02,P4,2024-08-03,Renewal,7500
PAY002556,M02556,B03,P4,08/03/2024,Renewal,7500
PAY003395,M03395,B04,P4,2024-08-04,New,7500
PAY001392,M01392,B02,P4,2024-08-04,Renewal,7500
PAY001296,M01296,B02,P4,2024-08-04,Renewal,7500
PAY000205,M00205,B01,P4,2024-08-05,New,7500
PAY000364,M00364,B01,P4,2024-08-06,New,7500
PAY002708,M02708,B03,P5,08/06/2024,Renewal,13500
PAY004220,M04220,B05,P4,2024-08-07,Renewal,7500
PAY004092,M04092,B05,P4,2024-08-08,New,7500
PAY002712,M02712,B03,P4,08/08/2024,Renewal,7500
PAY003332,M03332,B04,P5,2024-08-09,Renewal,13500
PAY001341,M01341,B02,P4,2024-08-10,Renewal,7500
PAY002639,M02639,B03,P5,08/10/2024,Renewal,13500
PAY000292,M00292,B01,P4,2024-08-11,Renewal,7500
PAY001597,M01597,B02,P4,2024-08-11,New,7500
PAY001186,M01186,B02,P4,2024-08-11,Renewal,7500
PAY002528,M02528,B03,P4,08/11/2024,New,7500
PAY002672,M02672,B03,P4,08/11/2024,Renewal,7500
PAY000348,M00348,B01,P4,2024-08-11,Renewal,7500
PAY001477,M01477,B02,P4,2024-08-12,Renewal,7500
PAY000327,M00327,B01,P5,2024-08-12,Renewal,13500
PAY002632,M02632,B03,P4,08/12/2024,New,7500
PAY001389,M01389,B02,P5,2024-08-12,Renewal,13500
PAY001649,M01649,B02,P4,2024-08-14,Renewal,7500
PAY001282,M01282,B02,P5,2024-08-15,Renewal,13500
PAY001542,M01542,B02,P4,2024-08-17,New,7500
PAY004349,M04349,B05,P5,2024-08-18,Renewal,13500
PAY001559,M01559,B02,P4,2024-08-18,Renewal,7500
PAY000316,M00316,B01,P4,2024-08-18,Renewal,7500
PAY003125,M03125,B04,P4,2024-08-20,Renewal,7500
PAY000259,M00259,B01,P5,2024-08-21,Renewal,13500
PAY002656,M02656,B03,P4,08/22/2024,Renewal,7500
PAY000210,M00210,B01,P4,2024-08-22,Renewal,7500
PAY001561,M01561,B02,P5,2024-08-22,Renewal,13500
PAY002695,M02695,B03,P4,08/23/2024,Renewal,7500
PAY000061,M00061,B01,P4,2024-08-23,Renewal,7500
PAY001515,M01515,B02,P4,2024-08-23,New,7500
PAY004028,M04028,B05,P5,2024-08-23,New,13500
PAY003383,M03383,B04,P4,2024-08-24,Renewal,7500
PAY001219,M01219,B02,P4,2024-08-24,Renewal,7500
PAY002691,M02691,B03,P5,08/25/2024,Renewal,13500
PAY001332,M01332,B02,P4,2024-08-25,Renewal,7500
PAY001413,M01413,B02,P4,2024-08-25,Renewal,7500
PAY001363,M01363,B02,P4,2024-08-25,Renewal,7500
PAY002690,M02690,B03,P5,08/26/2024,Renewal,13500
PAY001521,M01521,B02,P4,2024-08-26,Renewal,7500
PAY003211,M03211,B04,P5,2024-08-27,Renewal,13500
PAY000383,M00383,B01,P4,2024-08-27,Renewal,7500
PAY000425,M00425,B01,P4,2024-08-27,New,7500
PAY001316,M01316,B02,P5,2024-08-31,Renewal,13500
PAY002549,M02549,B03,P5,09/01/2024,Renewal,13500
PAY001399,M01399,B02,P4,2024-09-01,Renewal,7500
PAY001380,M01380,B02,P4,2024-09-01,Renewal,7500
PAY001297,M01297,B02,P4,2024-09-01,Renewal,7500
PAY001286,M01286,B02,P4,2024-09-01,Renewal,7500
PAY000109,M00109,B01,P5,2024-09-01,Renewal,13500
PAY001548,M01548,B02,P5,2024-09-03,Renewal,13500
PAY000253,M00253,B01,P4,2024-09-03,Renewal,7500
PAY001440,M01440,B02,P5,2024-09-04,New,13500
PAY000116,M00116,B01,P4,2024-09-04,Renewal,7500
PAY004230,M04230,B05,P5,2024-09-04,Renewal,13500
PAY003435,M03435,B04,P5,2024-09-05,Renewal,13500
PAY001494,M01494,B02,P4,2024-09-05,Renewal,7500
PAY003358,M03358,B04,P4,2024-09-05,Renewal,7500
PAY004323,M04323,B05,P5,2024-09-06,Renewal,13500
PAY004162,M04162,B05,P5,2024-09-06,Renewal,13500
PAY002685,M02685,B03,P4,09/06/2024,Renewal,7500
PAY004058,M04058,B05,P4,2024-09-06,Renewal,7500
PAY003372,M03372,B04,P5,2024-09-07,Renewal,13500
PAY000174,M00174,B01,P5,2024-09-07,Renewal,13500
PAY000399,M00399,B01,P5,2024-09-08,Renewal,13500
PAY001395,M01395,B02,P4,2024-09-08,Renewal,7500
PAY002502,M02502,B03,P4,09/08/2024,Renewal,7500
PAY002521,M02521,B03,P5,09/09/2024,Renewal,13500
PAY000172,M00172,B01,P4,2024-09-10,Renewal,7500
PAY003400,M03400,B04,P4,2024-09-10,Renewal,7500
PAY000361,M00361,B01,P4,2024-09-10,Renewal,7500
PAY003249,M03249,B04,P5,2024-09-10,Renewal,13500
PAY000018,M00018,B01,P4,2024-09-11,Renewal,7500
PAY000359,M00359,B01,P4,2024-09-12,Renewal,7500
PAY003977,M03977,B05,P4,2024-09-12,Renewal,7500
PAY002491,M02491,B03,P4,09/12/2024,Renewal,7500
PAY004147,M04147,B05,P5,2024-09-12,Renewal,13500
PAY003161,M03161,B04,P5,2024-09-13,Renewal,13500
PAY000429,M00429,B01,P5,2024-09-13,Renewal,13500
PAY001229,M01229,B02,P4,2024-09-13,Renewal,7500
PAY001215,M01215,B02,P4,2024-09-13,Renewal,7500
PAY004218,M04218,B05,P4,2024-09-13,Renewal,7500
PAY003210,M03210,B04,P4,2024-09-14,Renewal,7500
PAY001313,M01313,B02,P4,2024-09-15,Renewal,7500
PAY001630,M01630,B02,P5,2024-09-15,Renewal,13500
PAY003148,M03148,B04,P4,2024-09-16,Renewal,7500
PAY001456,M01456,B02,P5,2024-09-16,Renewal,13500
PAY003365,M03365,B04,P5,2024-09-16,New,13500
PAY003221,M03221,B04,P4,2024-09-17,Renewal,7500
PAY003279,M03279,B04,P4,2024-09-17,New,7500
PAY003366,M03366,B04,P5,2024-09-17,Renewal,13500
PAY001519,M01519,B02,P5,2024-09-18,New,13500
PAY001244,M01244,B02,P4,2024-09-18,Renewal,7500
PAY003448,M03448,B04,P4,2024-09-18,Renewal,7500
PAY003329,M03329,B04,P5,2024-09-18,Renewal,13500
PAY003407,M03407,B04,P4,2024-09-19,Renewal,7500
PAY000369,M00369,B01,P4,2024-09-19,Renewal,7500
PAY004232,M04232,B05,P4,2024-09-19,Renewal,7500
PAY003296,M03296,B04,P4,2024-09-20,Renewal,7500
PAY003403,M03403,B04,P5,2024-09-21,Renewal,13500
PAY000059,M00059,B01,P4,2024-09-21,Renewal,7500
PAY000001,M00001,B01,P5,2024-09-21,Renewal,13500
PAY003268,M03268,B04,P4,2024-09-23,Renewal,7500
PAY003205,M03205,B04,P4,2024-09-23,Renewal,7500
PAY003191,M03191,B04,P5,2024-09-23,Renewal,13500
PAY004308,M04308,B05,P4,2024-09-24,Renewal,7500
PAY004342,M04342,B05,P4,2024-09-24,Renewal,7500
PAY002679,M02679,B03,P4,09/25/2024,Renewal,7500
PAY004325,M04325,B05,P4,2024-09-27,Renewal,7500
PAY004282,M04282,B05,P4,2024-09-27,Renewal,7500
PAY004321,M04321,B05,P4,2024-09-27,Renewal,7500
PAY000179,M00179,B01,P4,2024-09-28,Renewal,7500
PAY004127,M04127,B05,P4,2024-09-28,Renewal,7500
PAY004374,M04374,B05,P5,2024-09-28,Renewal,13500
PAY004304,M04304,B05,P4,2024-09-28,Renewal,7500
PAY004197,M04197,B05,P5,2024-09-28,Renewal,13500
PAY000306,M00306,B01,P4,2024-09-28,Renewal,7500
PAY002606,M02606,B03,P4,09/29/2024,Renewal,7500
PAY001338,M01338,B02,P5,2024-09-29,Renewal,13500
PAY001339,M01339,B02,P4,2024-09-30,Renewal,7500
PAY003142,M03142,B04,P4,2024-10-02,Renewal,7500
PAY000357,M00357,B01,P3,2024-10-02,Renewal,4000
PAY001443,M01443,B02,P3,2024-10-02,Renewal,4000
PAY000408,M00408,B01,P4,2024-10-02,Renewal,7500
PAY000371,M00371,B01,P3,2024-10-02,Renewal,4000
PAY003280,M03280,B04,P3,2024-10-02,Renewal,4000
PAY001396,M01396,B02,P3,2024-10-02,Renewal,4000
PAY000194,M00194,B01,P4,2024-10-02,New,7500
PAY002538,M02538,B03,P4,10/02/2024,Renewal,7500
PAY000330,M00330,B01,P3,2024-10-03,Renewal,4000
PAY003357,M03357,B04,P3,2024-10-03,Renewal,4000
PAY000398,M00398,B01,P4,2024-10-03,Renewal,7500
PAY004145,M04145,B05,P3,2024-10-03,Renewal,4000
PAY003328,M03328,B04,P4,2024-10-03,Renewal,7500
PAY004299,M04299,B05,P3,2024-10-03,Renewal,4000
PAY003167,M03167,B04,P3,2024-10-03,Renewal,4000
PAY004319,M04319,B05,P3,2024-10-03,Renewal,4000
PAY001164,M01164,B02,P4,2024-10-04,Renewal,7500
PAY001451,M01451,B02,P4,2024-10-04,Renewal,7500
PAY004174,M04174,B05,P4,2024-10-04,Renewal,7500
PAY004381,M04381,B05,P3,2024-10-04,New,4000
PAY004139,M04139,B05,P3,2024-10-04,Renewal,4000
PAY001238,M01238,B02,P3,2024-10-04,Renewal,4000
PAY001201,M01201,B02,P3,2024-10-04,Renewal,4000
PAY001641,M01641,B02,P4,2024-10-05,Renewal,7500
PAY003300,M03300,B04,P3,2024-10-05,Renewal,4000
PAY004298,M04298,B05,P3,2024-10-05,Renewal,4000
PAY000270,M00270,B01,P3,2024-10-05,Renewal,4000
PAY001497,M01497,B02,P3,2024-10-05,Renewal,4000
PAY003389,M03389,B04,P3,2024-10-05,Renewal,4000
PAY001445,M01445,B02,P4,2024-10-05,Renewal,7500
PAY002581,M02581,B03,P4,10/05/2024,Renewal,7500
PAY000167,M00167,B01,P3,2024-10-05,Renewal,4000
PAY001211,M01211,B02,P3,2024-10-05,Renewal,4000
PAY004128,M04128,B05,P4,2024-10-06,Renewal,7500
PAY004254,M04254,B05,P5,2024-10-06,New,13500
PAY000115,M00115,B01,P3,2024-10-06,Renewal,4000
PAY000350,M00350,B01,P3,2024-10-06,Renewal,4000
PAY000263,M00263,B01,P3,2024-10-06,Renewal,4000
PAY003972,M03972,B05,P3,2024-10-06,Renewal,4000
PAY003196,M03196,B04,P3,2024-10-06,Renewal,4000
PAY001502,M01502,B02,P3,2024-10-06,Renewal,4000
PAY003321,M03321,B04,P3,2024-10-06,Renewal,4000
PAY000333,M00333,B01,P3,2024-10-07,New,4000
PAY004303,M04303,B05,P3,2024-10-07,Renewal,4000
PAY002561,M02561,B03,P3,10/07/2024,Renewal,4000
PAY004285,M04285,B05,P3,2024-10-07,Renewal,4000
PAY002706,M02706,B03,P3,10/07/2024,Renewal,4000
PAY001240,M01240,B02,P3,2024-10-08,New,4000
PAY001184,M01184,B02,P3,2024-10-08,Renewal,4000
PAY001565,M01565,B02,P4,2024-10-08,Renewal,7500
PAY004177,M04177,B05,P4,2024-10-08,Renewal,7500
PAY000102,M00102,B01,P4,2024-10-08,Renewal,7500
PAY004075,M04075,B05,P3,2024-10-09,Renewal,4000
PAY002647,M02647,B03,,10/09/2024,Renewal,4000
PAY001167,M01167,B02,P5,2024-10-09,Renewal,13500
PAY001179,M01179,B02,P3,2024-10-09,Renewal,4000
PAY001566,M01566,B02,P4,2024-10-09,Renewal,7500
PAY000331,M00331,B01,P3,2024-10-09,Renewal,4000
PAY002694,M02694,B03,P3,10/09/2024,Renewal,4000
PAY001555,M01555,B02,P3,2024-10-09,Renewal,4000
PAY003227,M03227,B04,P3,2024-10-09,Renewal,4000
PAY001556,M01556,B02,P3,2024-10-09,Renewal,4000
PAY004076,M04076,B05,P3,2024-10-09,Renewal,4000
PAY001172,M01172,B02,P3,2024-10-10,Renewal,4000
PAY001202,M01202,B02,P5,2024-10-10,Renewal,13500
PAY002520,M02520,B03,P3,10/10/2024,Renewal,4000
PAY001404,M01404,B02,P3,2024-10-10,Renewal,4000
PAY001507,M01507,B02,P3,2024-10-10,Renewal,4000
PAY000071,M00071,B01,P3,2024-10-10,Renewal,4000
PAY003982,M03982,B05,P5,2024-10-10,Renewal,13500
PAY001302,M01302,B02,P3,2024-10-10,Renewal,4000
PAY000090,M00090,B01,P3,2024-10-10,Renewal,4000
PAY000123,M00123,B01,P5,2024-10-10,Renewal,13500
PAY000152,M00152,B01,P3,2024-10-10,Renewal,4000
PAY002665,M02665,B03,P4,10/10/2024,Renewal,7500
PAY001401,M01401,B02,P3,2024-10-11,Renewal,4000
PAY003477,M03477,B04,P4,2024-10-11,Renewal,7500
PAY002670,M02670,B03,P3,10/11/2024,Renewal,4000
PAY001230,M01230,B02,P4,2024-10-11,Renewal,7500
PAY003408,M03408,B04,P3,2024-10-11,Renewal,4000
PAY004183,M04183,B05,P3,2024-10-11,Renewal,4000
PAY004016,M04016,B05,P3,2024-10-11,Renewal,4000
PAY001523,M01523,B02,P3,2024-10-12,Renewal,4000
PAY000396,M00396,B01,P4,2024-10-12,Renewal,7500
PAY003985,M03985,B05,P3,2024-10-12,Renewal,4000
PAY000095,M00095,B01,P5,2024-10-12,Renewal,13500
PAY001239,M01239,B02,P3,2024-10-12,Renewal,4000
PAY001292,M01292,B02,P4,2024-10-12,Renewal,7500
PAY000332,M00332,B01,P5,2024-10-12,Renewal,13500
PAY002555,M02555,B03,P4,10/12/2024,Renewal,7500
PAY003998,M03998,B05,P3,2024-10-12,Renewal,4000
PAY004112,M04112,B05,P4,2024-10-12,Renewal,7500
PAY001441,M01441,B02,P3,2024-10-13,Renewal,4000
PAY001637,M01637,B02,P3,2024-10-13,Renewal,4000
PAY000258,M00258,B01,P3,2024-10-13,Renewal,4000
PAY003225,M03225,B04,P3,2024-10-13,Renewal,4000
PAY000412,M00412,B01,P4,2024-10-13,Renewal,7500
PAY004259,M04259,B05,P3,2024-10-13,Renewal,4000
PAY000161,M00161,B01,P3,2024-10-13,Renewal,4000
PAY003422,M03422,B04,P5,2024-10-13,Renewal,13500
PAY002613,M02613,B03,P3,10/13/2024,Renewal,4000
PAY001498,M01498,B02,P3,2024-10-13,Renewal,4000
PAY001541,M01541,B02,P3,2024-10-13,Renewal,4000
PAY003334,M03334,B04,P3,2024-10-13,New,4000
PAY000004,M00004,B01,P3,2024-10-14,Renewal,4000
PAY004351,M04351,B05,P3,2024-10-14,Renewal,4000
PAY003192,M03192,B04,P5,2024-10-14,New,13500
PAY002576,M02576,B03,P3,10/14/2024,Renewal,4000
PAY000339,M00339,B01,P4,2024-10-15,Renewal,7500
PAY000017,M00017,B01,P3,2024-10-15,Renewal,4000
PAY001568,M01568,B02,P3,2024-10-15,Renewal,4000
PAY003302,M03302,B04,P3,2024-10-15,Renewal,4000
PAY004205,M04205,B05,P3,2024-10-15,Renewal,4000
PAY004037,M04037,B05,P3,2024-10-15,Renewal,4000
PAY002648,M02648,B03,P3,10/15/2024,Renewal,4000
PAY000160,M00160,B01,P3,2024-10-15,Renewal,4000
PAY001501,M01501,B02,P3,2024-10-15,Renewal,4000
PAY003233,M03233,B04,P3,2024-10-15,Renewal,4000
PAY001301,M01301,B02,P3,2024-10-16,Renewal,4000
PAY001379,M01379,B02,P3,2024-10-16,Renewal,4000
PAY001483,M01483,B02,P3,2024-10-16,Renewal,4000
PAY003184,M03184,B04,P3,2024-10-16,Renewal,4000
PAY003414,M03414,B04,P3,2024-10-16,Renewal,4000
PAY003455,M03455,B04,P3,2024-10-16,Renewal,4000
PAY003999,M03999,B05,P5,2024-10-16,Renewal,13500
PAY004063,M04063,B05,P3,2024-10-16,New,4000
PAY004288,M04288,B05,P3,2024-10-16,Renewal,4000
PAY001263,M01263,B02,P3,2024-10-17,New,4000
PAY003337,M03337,B04,P3,2024-10-17,Renewal,4000
PAY004189,M04189,B05,P4,2024-10-17,Renewal,7500
PAY004202,M04202,B05,P3,2024-10-17,Renewal,4000
PAY004236,M04236,B05,P3,2024-10-17,Renewal,4000
PAY004253,M04253,B05,P3,2024-10-17,Renewal,4000
PAY003319,M03319,B04,P3,2024-10-17,Renewal,4000
PAY002532,M02532,B03,P3,10/17/2024,Renewal,4000
PAY002490,M02490,B03,P4,10/18/2024,Renewal,7500
PAY001450,M01450,B02,P4,2024-10-18,Renewal,7500
PAY004207,M04207,B05,P3,2024-10-18,Renewal,4000
PAY001576,M01576,B02,P3,2024-10-18,Renewal,4000
PAY001633,M01633,B02,P3,2024-10-18,Renewal,4000
PAY003309,M03309,B04,P3,2024-10-18,Renewal,4000
PAY003169,M03169,B04,P3,2024-10-18,Renewal,4000
PAY004242,M04242,B05,P4,2024-10-19,Renewal,7500
PAY000363,M00363,B01,P3,2024-10-19,Renewal,4000
PAY002621,M02621,B03,,10/19/2024,Renewal,7500
PAY000231,M00231,B01,P3,2024-10-19,Renewal,4000
PAY001382,M01382,B02,P4,2024-10-19,Renewal,7500
PAY001493,M01493,B02,P3,2024-10-20,Renewal,4000
PAY001610,M01610,B02,P3,2024-10-20,Renewal,4000
PAY000080,M00080,B01,P4,2024-10-20,Renewal,7500
